ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strrchr (Arm OR 23.01)|20|5.028|5.041|5.055|5.042|0.145|3.695|0.005
strrchr (LI-PaRAD)|21|2.414|2.415|2.442|2.415|0.113|8.097|0.009
strrchr (GNU libc 2.34)|21|2.232|2.233|2.24|2.233|0.054|8.758|0.005
strrchr (Arm OR 23.01)|21|5.034|5.039|5.056|5.042|0.162|3.879|0.006
strrchr (LI-PaRAD)|22|2.414|2.415|2.419|2.415|0.033|8.483|0.003
strrchr (GNU libc 2.34)|22|2.232|2.233|2.253|2.233|0.094|9.174|0.009
strrchr (Arm OR 23.01)|22|5.03|5.042|5.061|5.043|0.169|4.063|0.007
strrchr (LI-PaRAD)|23|2.414|2.415|2.559|2.417|0.618|8.863|0.052
strrchr (GNU libc 2.34)|23|2.232|2.233|2.238|2.233|0.043|9.592|0.004
strrchr (Arm OR 23.01)|23|5.019|5.039|5.055|5.042|0.172|4.249|0.007
strrchr (LI-PaRAD)|24|2.415|2.415|2.417|2.415|0.024|9.255|0.002
strrchr (GNU libc 2.34)|24|2.232|2.233|2.24|2.233|0.045|10.008|0.004
strrchr (Arm OR 23.01)|24|5.021|5.038|5.057|5.042|0.173|4.433|0.008
strrchr (LI-PaRAD)|25|2.415|2.415|2.418|2.415|0.027|9.639|0.003
strrchr (GNU libc 2.34)|25|2.232|2.233|2.238|2.233|0.043|10.425|0.005
strrchr (Arm OR 23.01)|25|5.033|5.04|5.057|5.042|0.16|4.618|0.007
strrchr (LI-PaRAD)|26|2.414|2.415|2.445|2.416|0.128|10.024|0.013
strrchr (GNU libc 2.34)|26|2.232|2.233|2.238|2.233|0.052|10.841|0.006
strrchr (Arm OR 23.01)|26|5.017|5.039|5.055|5.039|0.121|4.806|0.006
strrchr (LI-PaRAD)|27|2.415|2.415|2.419|2.415|0.029|10.411|0.003
strrchr (GNU libc 2.34)|27|2.232|2.233|2.239|2.233|0.044|11.26|0.005
strrchr (Arm OR 23.01)|27|5.017|5.04|5.057|5.038|0.125|4.991|0.006
strrchr (LI-PaRAD)|28|2.415|2.415|2.466|2.416|0.208|10.794|0.022
strrchr (GNU libc 2.34)|28|2.232|2.233|2.242|2.234|0.058|11.674|0.007
strrchr (Arm OR 23.01)|28|5.022|5.038|5.056|5.041|0.164|5.173|0.008
