ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strchr (LI-PaRAD)|21|2.566|2.63|2.638|2.611|1.097|7.491|0.083
strchr (GNU libc 2.34)|21|1.871|1.873|1.88|1.873|0.062|10.441|0.006
strchr (Arm OR 23.01)|21|5.156|5.159|5.404|5.173|0.698|3.781|0.026
strchr (LI-PaRAD)|22|2.566|2.63|2.635|2.617|1.003|7.831|0.08
strchr (GNU libc 2.34)|22|1.871|1.873|1.875|1.873|0.037|10.94|0.004
strchr (Arm OR 23.01)|22|5.156|5.158|5.307|5.174|0.709|3.96|0.028
strchr (LI-PaRAD)|23|2.565|2.629|2.637|2.615|0.989|8.193|0.082
strchr (GNU libc 2.34)|23|1.872|1.873|1.876|1.873|0.043|11.438|0.005
strchr (Arm OR 23.01)|23|5.157|5.159|5.385|5.178|0.839|4.137|0.034
strchr (LI-PaRAD)|24|2.612|2.637|2.695|2.651|0.99|8.434|0.083
strchr (GNU libc 2.34)|24|1.871|1.872|1.876|1.873|0.06|11.935|0.007
strchr (Arm OR 23.01)|24|5.157|5.159|5.407|5.182|0.976|4.314|0.041
strchr (LI-PaRAD)|25|2.615|2.634|2.695|2.643|0.911|8.811|0.08
strchr (GNU libc 2.34)|25|1.871|1.873|1.896|1.873|0.169|12.428|0.021
strchr (Arm OR 23.01)|25|5.157|5.159|5.324|5.176|0.765|4.499|0.034
strchr (LI-PaRAD)|26|2.618|2.636|2.696|2.647|0.936|9.15|0.085
strchr (GNU libc 2.34)|26|1.871|1.873|1.878|1.873|0.058|12.929|0.008
strchr (Arm OR 23.01)|26|5.156|5.159|5.36|5.17|0.614|4.684|0.028
strchr (LI-PaRAD)|27|2.616|2.633|2.696|2.645|0.943|9.508|0.089
strchr (GNU libc 2.34)|27|1.871|1.873|1.878|1.873|0.07|13.425|0.009
strchr (Arm OR 23.01)|27|5.156|5.159|5.431|5.175|0.831|4.859|0.039
strchr (LI-PaRAD)|28|2.619|2.635|2.695|2.647|0.943|9.852|0.092
strchr (GNU libc 2.34)|28|1.872|1.875|1.895|1.875|0.137|13.907|0.019
strchr (Arm OR 23.01)|28|5.156|5.158|5.415|5.169|0.728|5.045|0.036
strchr (LI-PaRAD)|29|2.62|2.63|2.658|2.63|0.15|10.269|0.015
strchr (GNU libc 2.34)|29|1.871|1.873|1.877|1.873|0.063|14.42|0.009
strchr (Arm OR 23.01)|29|5.156|5.159|5.343|5.176|0.708|5.218|0.036
strchr (LI-PaRAD)|30|2.614|2.634|2.695|2.646|0.976|10.561|0.102
strchr (GNU libc 2.34)|30|1.871|1.873|1.877|1.873|0.065|14.917|0.01
strchr (Arm OR 23.01)|30|5.156|5.158|5.304|5.174|0.681|5.4|0.036
strchr (LI-PaRAD)|31|2.615|2.635|2.695|2.644|0.89|10.919|0.096
strchr (GNU libc 2.34)|31|1.871|1.873|1.878|1.873|0.071|15.414|0.011
strchr (Arm OR 23.01)|31|5.155|5.158|5.346|5.177|0.771|5.577|0.042
strchr (LI-PaRAD)|32|3.421|3.421|3.426|3.422|0.026|8.71|0.002
strchr (GNU libc 2.34)|32|2.145|2.154|2.199|2.155|0.341|13.83|0.047
strchr (Arm OR 23.01)|32|5.952|5.954|5.96|5.954|0.018|5.005|0.001
strchr (LI-PaRAD)|33|3.421|3.421|3.426|3.422|0.028|8.982|0.003
strchr (GNU libc 2.34)|33|2.148|2.155|2.172|2.156|0.283|14.255|0.04
strchr (Arm OR 23.01)|33|5.952|5.954|5.956|5.954|0.016|5.162|0.001
strchr (LI-PaRAD)|34|3.421|3.422|3.43|3.422|0.032|9.254|0.003
strchr (GNU libc 2.34)|34|2.145|2.154|2.171|2.155|0.255|14.693|0.037
strchr (Arm OR 23.01)|34|5.952|5.955|5.957|5.954|0.016|5.318|0.001
strchr (LI-PaRAD)|35|3.421|3.421|3.427|3.422|0.029|9.526|0.003
strchr (GNU libc 2.34)|35|2.178|2.179|2.185|2.179|0.058|14.956|0.009
strchr (Arm OR 23.01)|35|5.952|5.954|5.957|5.954|0.017|5.474|0.001
strchr (LI-PaRAD)|36|3.421|3.422|3.433|3.422|0.039|9.798|0.004
strchr (GNU libc 2.34)|36|2.178|2.179|2.184|2.179|0.053|15.384|0.008
strchr (Arm OR 23.01)|36|5.952|5.954|5.957|5.955|0.018|5.631|0.001
strchr (LI-PaRAD)|37|3.421|3.422|3.426|3.422|0.027|10.07|0.003
strchr (GNU libc 2.34)|37|2.178|2.179|2.183|2.179|0.044|15.812|0.007
strchr (Arm OR 23.01)|37|5.953|5.955|5.957|5.955|0.017|5.787|0.001
strchr (LI-PaRAD)|38|3.421|3.422|3.427|3.422|0.028|10.342|0.003
strchr (GNU libc 2.34)|38|2.178|2.179|2.181|2.179|0.039|16.238|0.006
strchr (Arm OR 23.01)|38|5.952|5.955|5.961|5.955|0.019|5.943|0.001
strchr (LI-PaRAD)|39|3.421|3.422|3.426|3.422|0.026|10.615|0.003
strchr (GNU libc 2.34)|39|2.178|2.179|2.187|2.18|0.074|16.664|0.012
strchr (Arm OR 23.01)|39|5.953|5.955|5.957|5.955|0.015|6.099|0.001
strchr (LI-PaRAD)|40|3.407|3.422|3.472|3.423|0.156|10.885|0.017
strchr (GNU libc 2.34)|40|2.178|2.18|2.195|2.18|0.097|17.087|0.017
strchr (Arm OR 23.01)|40|5.953|5.955|5.957|5.955|0.017|6.255|0.001
strchr (LI-PaRAD)|41|3.421|3.422|3.426|3.422|0.02|11.159|0.002
strchr (GNU libc 2.34)|41|2.178|2.179|2.185|2.18|0.056|17.519|0.01
strchr (Arm OR 23.01)|41|5.953|5.955|5.957|5.955|0.017|6.412|0.001
strchr (LI-PaRAD)|42|3.421|3.422|3.426|3.422|0.023|11.43|0.003
strchr (GNU libc 2.34)|42|2.179|2.18|2.184|2.18|0.052|17.944|0.009
strchr (Arm OR 23.01)|42|5.952|5.955|5.959|5.955|0.018|6.569|0.001
strchr (LI-PaRAD)|43|3.371|3.421|3.442|3.422|0.161|11.704|0.019
strchr (GNU libc 2.34)|43|2.178|2.18|2.184|2.18|0.05|18.37|0.009
