        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         memcpy (Arm OR 23.01) |          21 |          2.503 |          2.505 |          2.510 |          2.506 |          0.078 |          7.805 |          0.006 |
             memcpy (LI-PaRAD) |          21 |          2.310 |          2.311 |          2.317 |          2.312 |          0.076 |          8.461 |          0.006 |      +8.40%
         memcpy (Arm OR 23.01) |          22 |          2.505 |          2.507 |          2.697 |          2.509 |          0.756 |          8.166 |          0.058 |
             memcpy (LI-PaRAD) |          22 |          2.310 |          2.311 |          2.316 |          2.312 |          0.073 |          8.864 |          0.006 |      +8.55%
         memcpy (Arm OR 23.01) |          23 |          2.503 |          2.505 |          2.513 |          2.506 |          0.079 |          8.548 |          0.007 |
             memcpy (LI-PaRAD) |          23 |          2.310 |          2.311 |          2.317 |          2.312 |          0.077 |          9.267 |          0.007 |      +8.41%
         memcpy (Arm OR 23.01) |          24 |          2.533 |          2.535 |          2.732 |          2.538 |          0.772 |          8.808 |          0.063 |
             memcpy (LI-PaRAD) |          24 |          2.310 |          2.311 |          2.322 |          2.312 |          0.093 |          9.667 |          0.009 |      +9.76%
         memcpy (Arm OR 23.01) |          25 |          2.503 |          2.505 |          2.511 |          2.506 |          0.073 |          9.291 |          0.007 |
             memcpy (LI-PaRAD) |          25 |          2.310 |          2.311 |          2.316 |          2.311 |          0.072 |         10.073 |          0.007 |      +8.42%
         memcpy (Arm OR 23.01) |          26 |          2.533 |          2.535 |          2.729 |          2.537 |          0.764 |          9.543 |          0.068 |
             memcpy (LI-PaRAD) |          26 |          2.310 |          2.311 |          2.318 |          2.312 |          0.073 |         10.474 |          0.008 |      +9.76%
         memcpy (Arm OR 23.01) |          27 |          2.504 |          2.506 |          2.513 |          2.506 |          0.071 |         10.033 |          0.007 |
             memcpy (LI-PaRAD) |          27 |          2.310 |          2.311 |          2.317 |          2.311 |          0.063 |         10.879 |          0.007 |      +8.43%
         memcpy (Arm OR 23.01) |          28 |          2.533 |          2.535 |          2.722 |          2.537 |          0.737 |         10.278 |          0.071 |
             memcpy (LI-PaRAD) |          28 |          2.310 |          2.311 |          2.316 |          2.312 |          0.078 |         11.279 |          0.009 |      +9.75%
         memcpy (Arm OR 23.01) |          29 |          2.503 |          2.505 |          2.512 |          2.506 |          0.079 |         10.777 |          0.008 |
             memcpy (LI-PaRAD) |          29 |          2.310 |          2.311 |          2.316 |          2.312 |          0.080 |         11.684 |          0.009 |      +8.41%
         memcpy (Arm OR 23.01) |          30 |          2.532 |          2.535 |          2.734 |          2.538 |          0.784 |         11.011 |          0.080 |
             memcpy (LI-PaRAD) |          30 |          2.310 |          2.311 |          2.316 |          2.312 |          0.070 |         12.086 |          0.008 |      +9.77%
         memcpy (Arm OR 23.01) |          31 |          2.499 |          2.506 |          2.510 |          2.506 |          0.076 |         11.520 |          0.009 |
             memcpy (LI-PaRAD) |          31 |          2.310 |          2.311 |          2.316 |          2.311 |          0.068 |         12.491 |          0.008 |      +8.42%
         memcpy (Arm OR 23.01) |          32 |          2.874 |          2.877 |          3.069 |          2.879 |          0.668 |         10.354 |          0.065 |
             memcpy (LI-PaRAD) |          32 |          2.310 |          2.311 |          2.318 |          2.312 |          0.080 |         12.890 |          0.010 |     +24.51%
         memcpy (Arm OR 23.01) |          33 |          2.310 |          2.313 |          2.626 |          2.370 |          4.707 |         12.995 |          0.570 |
             memcpy (LI-PaRAD) |          33 |          2.695 |          2.707 |          2.775 |          2.717 |          0.868 |         11.312 |          0.097 |     -12.78%
         memcpy (Arm OR 23.01) |          34 |          2.893 |          2.932 |          3.136 |          2.930 |          0.904 |         10.807 |          0.094 |
             memcpy (LI-PaRAD) |          34 |          2.695 |          2.697 |          2.703 |          2.697 |          0.073 |         11.742 |          0.009 |      +8.65%
         memcpy (Arm OR 23.01) |          35 |          2.310 |          2.617 |          2.919 |          2.564 |          5.372 |         12.752 |          0.723 |
             memcpy (LI-PaRAD) |          35 |          2.695 |          2.719 |          2.819 |          2.724 |          0.995 |         11.968 |          0.118 |      -5.87%
         memcpy (Arm OR 23.01) |          36 |          2.880 |          2.895 |          3.114 |          2.899 |          0.851 |         11.566 |          0.093 |
             memcpy (LI-PaRAD) |          36 |          2.694 |          2.696 |          2.701 |          2.697 |          0.076 |         12.432 |          0.009 |      +7.50%
         memcpy (Arm OR 23.01) |          37 |          2.310 |          2.613 |          2.841 |          2.530 |          5.974 |         13.668 |          0.846 |
             memcpy (LI-PaRAD) |          37 |          2.695 |          2.718 |          2.828 |          2.724 |          1.023 |         12.651 |          0.128 |      -7.11%
         memcpy (Arm OR 23.01) |          38 |          2.898 |          2.939 |          3.133 |          2.936 |          0.829 |         12.053 |          0.096 |
             memcpy (LI-PaRAD) |          38 |          2.695 |          2.697 |          2.700 |          2.697 |          0.066 |         13.124 |          0.009 |      +8.89%
         memcpy (Arm OR 23.01) |          39 |          2.310 |          2.311 |          2.783 |          2.327 |          2.669 |         15.620 |          0.367 |
             memcpy (LI-PaRAD) |          39 |          2.695 |          2.697 |          2.887 |          2.699 |          0.704 |         13.460 |          0.089 |     -13.78%
         memcpy (Arm OR 23.01) |          40 |          2.388 |          2.562 |          2.568 |          2.559 |          0.724 |         14.556 |          0.112 |
             memcpy (LI-PaRAD) |          40 |          2.695 |          2.697 |          2.701 |          2.697 |          0.075 |         13.814 |          0.010 |      -5.09%
         memcpy (Arm OR 23.01) |          41 |          2.506 |          2.570 |          2.577 |          2.570 |          0.266 |         14.856 |          0.040 |
             memcpy (LI-PaRAD) |          41 |          2.694 |          2.697 |          2.881 |          2.699 |          0.684 |         14.150 |          0.091 |      -4.76%
         memcpy (Arm OR 23.01) |          42 |          2.534 |          2.561 |          2.568 |          2.562 |          0.138 |         15.270 |          0.021 |
             memcpy (LI-PaRAD) |          42 |          2.695 |          2.697 |          2.701 |          2.697 |          0.071 |         14.505 |          0.010 |      -5.01%
         memcpy (Arm OR 23.01) |          43 |          2.420 |          2.570 |          2.589 |          2.570 |          0.595 |         15.585 |          0.098 |
             memcpy (LI-PaRAD) |          43 |          2.695 |          2.697 |          2.890 |          2.699 |          0.714 |         14.841 |          0.099 |      -4.78%
