ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strrchr (GNU libc 2.39)|20|3.092|3.096|19.747|6.271|102.407|5.018|2.019
strrchr (LI-PaRAD)|21|4.954|5.265|21.379|10.416|72.475|2.843|1.346
strrchr (Arm OR 23.01)|21|7.004|7.44|23.605|14.574|55.103|1.848|0.928
strrchr (GNU libc 2.39)|21|3.023|3.096|19.13|6.096|101.753|5.277|2.065
strrchr (LI-PaRAD)|22|4.954|5.249|21.395|10.37|72.434|2.987|1.412
strrchr (Arm OR 23.01)|22|7.025|7.409|23.63|14.514|55.014|1.94|0.971
strrchr (GNU libc 2.39)|22|3.091|3.096|19.125|6.24|101.525|5.498|2.211
strrchr (LI-PaRAD)|23|4.944|5.232|25.235|10.437|73.174|3.129|1.489
strrchr (Arm OR 23.01)|23|7.059|7.475|23.472|14.599|54.794|2.012|1.005
strrchr (GNU libc 2.39)|23|3.092|3.096|19.436|6.275|102.187|5.758|2.32
strrchr (LI-PaRAD)|24|5.007|5.265|21.395|10.424|72.431|3.245|1.535
strrchr (Arm OR 23.01)|24|6.971|7.469|23.632|14.535|55.028|2.114|1.059
strrchr (GNU libc 2.39)|24|3.067|3.096|19.415|6.268|102.355|6.022|2.423
strrchr (LI-PaRAD)|25|4.948|5.264|21.399|10.273|73.024|3.413|1.587
strrchr (Arm OR 23.01)|25|7.048|7.508|23.565|14.593|54.921|2.192|1.098
strrchr (GNU libc 2.39)|25|3.088|3.097|19.433|6.291|101.839|6.229|2.515
strrchr (LI-PaRAD)|26|4.983|5.223|25.029|10.418|72.791|3.525|1.669
strrchr (Arm OR 23.01)|26|6.952|7.399|23.52|14.503|55.287|2.305|1.161
strrchr (GNU libc 2.39)|26|3.092|3.096|19.193|6.273|102.151|6.509|2.622
strrchr (LI-PaRAD)|27|5.018|5.312|21.398|10.468|72.091|3.621|1.708
strrchr (Arm OR 23.01)|27|7.006|7.462|23.666|14.524|55.111|2.383|1.195
strrchr (GNU libc 2.39)|27|3.093|3.096|19.852|6.153|102.295|6.796|2.691
strrchr (LI-PaRAD)|28|4.991|5.216|21.396|10.235|73.438|3.855|1.798
strrchr (Arm OR 23.01)|28|7.019|7.422|27.587|14.572|55.336|2.47|1.243
strrchr (GNU libc 2.39)|28|3.091|3.096|19.343|6.267|102.348|7.026|2.827
strrchr (LI-PaRAD)|29|4.991|5.258|21.396|10.393|72.349|3.925|1.853
strrchr (Arm OR 23.01)|29|6.953|7.406|23.577|14.479|55.157|2.569|1.289
strrchr (GNU libc 2.39)|29|3.092|3.096|19.196|6.265|102.323|7.277|2.928
strrchr (LI-PaRAD)|30|4.946|5.267|21.398|10.426|72.397|4.053|1.917
strrchr (Arm OR 23.01)|30|6.997|7.477|23.487|14.581|55.006|2.636|1.321
strrchr (GNU libc 2.39)|30|3.055|3.096|19.105|6.105|102.943|7.604|2.971
strrchr (LI-PaRAD)|31|4.956|5.217|21.396|10.388|72.604|4.214|1.996
strrchr (Arm OR 23.01)|31|7.009|7.409|23.553|14.57|54.99|2.725|1.366
strrchr (GNU libc 2.39)|31|3.091|3.096|19.205|6.28|101.98|7.743|3.123
strrchr (LI-PaRAD)|32|6.376|6.425|22.484|12.868|61.1|3.305|1.636
strrchr (Arm OR 23.01)|32|10.038|26.053|34.081|20.119|39.109|1.822|0.881
strrchr (GNU libc 2.39)|32|3.389|3.576|20.157|7.044|94.251|6.889|2.854
strrchr (LI-PaRAD)|33|6.375|6.45|22.489|12.719|61.508|3.436|1.675
strrchr (Arm OR 23.01)|33|10.022|26.044|26.255|20.196|38.224|1.862|0.901
strrchr (GNU libc 2.39)|33|3.399|3.577|20.235|7.192|93.951|7.061|2.998
strrchr (LI-PaRAD)|34|6.382|6.46|22.571|12.883|61.02|3.504|1.732
strrchr (Arm OR 23.01)|34|10.015|26.063|26.234|20.246|38.276|1.916|0.93
strrchr (GNU libc 2.39)|34|3.393|3.576|19.665|7.029|94.384|7.348|3.052
strrchr (LI-PaRAD)|35|6.383|6.441|22.49|12.916|61.139|3.606|1.788
strrchr (Arm OR 23.01)|35|10.037|26.06|26.218|20.205|38.208|1.974|0.954
strrchr (GNU libc 2.39)|35|3.403|3.573|19.885|7.034|94.439|7.56|3.136
strrchr (LI-PaRAD)|36|6.361|6.417|22.48|12.745|61.758|3.755|1.839
strrchr (Arm OR 23.01)|36|9.994|26.062|26.205|20.243|38.281|2.03|0.985
strrchr (GNU libc 2.39)|36|3.407|3.576|19.987|7.152|93.664|7.716|3.272
strrchr (LI-PaRAD)|37|6.375|6.44|22.457|12.876|61.054|3.817|1.888
strrchr (Arm OR 23.01)|37|10.03|26.047|26.23|20.235|38.224|2.085|1.01
strrchr (GNU libc 2.39)|37|3.436|3.576|19.583|7.202|93.642|7.884|3.346
strrchr (LI-PaRAD)|38|6.376|6.451|22.503|12.921|61.141|3.914|1.941
strrchr (Arm OR 23.01)|38|10.032|26.082|26.472|20.228|38.143|2.139|1.032
strrchr (GNU libc 2.39)|38|3.399|3.574|20.237|7.051|94.328|8.179|3.389
strrchr (LI-PaRAD)|39|6.383|6.436|22.462|12.713|61.551|4.064|1.982
strrchr (Arm OR 23.01)|39|10.028|26.057|30.039|20.215|38.285|2.199|1.061
strrchr (GNU libc 2.39)|39|3.392|3.575|20.062|6.998|94.04|8.422|3.482
strrchr (LI-PaRAD)|40|6.165|6.415|22.551|12.495|62.705|4.268|2.073
strrchr (Arm OR 23.01)|40|10.407|26.421|26.501|21.007|36.08|2.139|1.025
strrchr (GNU libc 2.39)|40|3.4|3.573|27.579|7.097|96.303|8.662|3.599
strrchr (LI-PaRAD)|41|6.165|6.401|22.539|12.664|62.232|4.33|2.134
strrchr (Arm OR 23.01)|41|10.415|26.418|26.467|21.047|36.074|2.189|1.051
strrchr (GNU libc 2.39)|41|3.393|3.576|19.877|7.036|94.452|8.855|3.673
strrchr (LI-PaRAD)|42|6.163|6.402|22.541|12.651|62.254|4.441|2.19
strrchr (Arm OR 23.01)|42|10.407|26.42|30.422|20.728|37.25|2.29|1.092
strrchr (GNU libc 2.39)|42|3.395|3.577|19.639|7.195|93.669|8.962|3.805
strrchr (LI-PaRAD)|43|6.165|6.414|26.299|12.701|62.465|4.537|2.24
strrchr (Arm OR 23.01)|43|10.41|26.423|26.475|20.851|36.592|2.322|1.108
strrchr (GNU libc 2.39)|43|3.396|3.573|20.066|7.039|94.321|9.27|3.842
strrchr (LI-PaRAD)|44|6.163|6.395|22.555|12.564|61.983|4.661|2.283
strrchr (Arm OR 23.01)|44|10.415|26.416|26.461|20.85|36.586|2.376|1.134
strrchr (GNU libc 2.39)|44|3.396|3.573|19.715|7.043|94.329|9.485|3.937
strrchr (LI-PaRAD)|45|6.164|6.411|22.488|12.644|62.086|4.751|2.338
strrchr (Arm OR 23.01)|45|10.401|26.42|26.48|20.886|36.629|2.428|1.163
strrchr (GNU libc 2.39)|45|3.422|3.575|19.798|7.152|93.489|9.623|4.072
strrchr (LI-PaRAD)|46|6.167|6.401|22.539|12.658|62.19|4.858|2.393
strrchr (Arm OR 23.01)|46|10.407|26.417|26.479|20.689|37.117|2.509|1.194
strrchr (GNU libc 2.39)|46|3.398|3.575|20.08|7.042|94.432|9.923|4.115
strrchr (LI-PaRAD)|47|6.166|6.38|22.523|12.629|62.477|4.992|2.468
strrchr (Arm OR 23.01)|47|10.392|26.416|26.48|21.041|36.104|2.512|1.206
strrchr (GNU libc 2.39)|47|3.446|3.576|19.585|7.193|93.687|10.033|4.26
strrchr (LI-PaRAD)|48|6.164|6.388|22.545|12.818|61.808|5.026|2.515
strrchr (Arm OR 23.01)|48|10.409|26.42|26.494|20.689|37.132|2.619|1.247
strrchr (GNU libc 2.39)|48|4.057|4.251|20.565|8.408|83.372|8.386|3.726
strrchr (LI-PaRAD)|49|6.167|6.407|22.497|12.533|61.943|5.19|2.531
strrchr (Arm OR 23.01)|49|10.405|26.423|30.405|20.887|36.735|2.645|1.267
strrchr (GNU libc 2.39)|49|4.076|4.246|28.187|8.577|85.084|8.528|3.825
strrchr (LI-PaRAD)|50|6.165|6.385|26.413|12.69|62.528|5.284|2.611
strrchr (Arm OR 23.01)|50|10.402|26.422|26.471|20.85|36.596|2.7|1.289
strrchr (GNU libc 2.39)|50|4.051|4.25|20.368|8.507|83.64|8.682|3.877
strrchr (LI-PaRAD)|51|6.165|6.43|22.544|12.659|62.109|5.379|2.647
strrchr (Arm OR 23.01)|51|10.397|26.424|26.462|20.889|36.62|2.751|1.317
strrchr (GNU libc 2.39)|51|4.069|4.247|20.333|8.49|83.903|8.898|3.978
strrchr (LI-PaRAD)|52|6.164|6.423|22.553|12.647|62.346|5.507|2.719
strrchr (Arm OR 23.01)|52|10.417|26.413|26.493|20.771|36.545|2.815|1.336
strrchr (GNU libc 2.39)|52|4.092|4.249|20.61|8.335|84.297|9.144|3.997
strrchr (LI-PaRAD)|53|6.165|6.42|22.507|12.662|62.171|5.594|2.755
strrchr (Arm OR 23.01)|53|10.399|26.419|26.495|20.731|37.146|2.888|1.378
strrchr (GNU libc 2.39)|53|4.042|4.249|20.265|8.497|83.82|9.232|4.126
strrchr (LI-PaRAD)|54|6.167|6.402|22.545|12.649|62.428|5.724|2.828
strrchr (Arm OR 23.01)|54|10.378|26.422|26.471|21.008|36.074|2.888|1.383
strrchr (GNU libc 2.39)|54|4.094|4.249|20.584|8.496|83.756|9.4|4.199
strrchr (LI-PaRAD)|55|6.162|6.348|22.553|12.476|63.055|5.903|2.879
strrchr (Arm OR 23.01)|55|10.407|26.42|26.473|20.888|36.618|2.967|1.42
strrchr (GNU libc 2.39)|55|4.094|4.249|20.417|8.382|83.729|9.602|4.228
strrchr (LI-PaRAD)|56|6.163|6.395|22.541|12.653|62.372|5.929|2.928
strrchr (Arm OR 23.01)|56|10.402|26.423|26.462|20.851|36.595|3.024|1.444
strrchr (GNU libc 2.39)|56|4.045|4.251|32.135|8.455|86.67|9.842|4.326
strrchr (LI-PaRAD)|57|6.164|6.396|22.552|12.581|62.252|6.04|2.96
strrchr (Arm OR 23.01)|57|10.414|26.426|26.48|20.891|36.629|3.075|1.473
strrchr (GNU libc 2.39)|57|4.068|4.249|20.508|8.336|84.246|10.017|4.377
strrchr (LI-PaRAD)|58|6.165|6.377|22.459|12.631|62.383|6.153|3.039
strrchr (Arm OR 23.01)|58|10.399|26.422|26.485|20.847|36.615|3.134|1.497
strrchr (GNU libc 2.39)|58|4.06|4.249|20.401|8.495|83.809|10.104|4.515
strrchr (LI-PaRAD)|59|6.165|6.404|22.511|12.634|62.422|6.261|3.094
strrchr (Arm OR 23.01)|59|10.401|26.421|42.426|20.848|38.175|3.211|1.539
strrchr (GNU libc 2.39)|59|4.041|4.248|20.264|8.338|84.283|10.371|4.535
strrchr (LI-PaRAD)|60|6.164|6.417|22.538|12.649|62.245|6.345|3.128
strrchr (Arm OR 23.01)|60|10.408|26.418|26.455|20.767|36.651|3.25|1.543
strrchr (GNU libc 2.39)|60|4.055|4.249|20.564|8.486|83.963|10.479|4.686
strrchr (LI-PaRAD)|61|6.163|6.402|22.525|12.648|62.286|6.454|3.183
strrchr (Arm OR 23.01)|61|10.377|26.419|26.458|21.043|36.111|3.26|1.566
strrchr (GNU libc 2.39)|61|4.053|4.251|20.422|8.506|83.728|10.604|4.738
strrchr (LI-PaRAD)|62|6.163|6.44|22.541|12.656|62.281|6.556|3.234
strrchr (Arm OR 23.01)|62|10.399|26.418|26.481|20.728|37.15|3.379|1.613
