ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strncmp (GNU libc 2.39)|20|5.17|5.193|21.243|10.538|71.697|2.679|1.284
strncmp (LI-PaRAD)|21|4.236|4.239|20.384|8.524|83.518|3.634|1.62
strncmp (Arm OR 23.01)|21|6.458|6.697|22.799|13.252|59.831|2.092|1.041
strncmp (GNU libc 2.39)|21|5.172|5.193|21.199|10.339|72.048|2.843|1.336
strncmp (LI-PaRAD)|22|4.235|4.239|20.243|8.487|83.132|3.803|1.689
strncmp (Arm OR 23.01)|22|6.421|6.691|22.847|13.241|59.923|2.196|1.094
strncmp (GNU libc 2.39)|22|5.167|5.194|21.2|10.418|72.393|2.974|1.405
strncmp (LI-PaRAD)|23|4.236|4.239|20.432|8.534|83.428|3.971|1.77
strncmp (Arm OR 23.01)|23|6.445|6.725|22.895|13.179|59.8|2.296|1.135
strncmp (GNU libc 2.39)|23|5.168|5.192|21.199|10.574|71.878|3.08|1.481
strncmp (LI-PaRAD)|24|4.236|4.238|20.249|8.358|84.138|4.201|1.832
strncmp (Arm OR 23.01)|24|6.846|7.131|23.135|14.203|56.047|2.176|1.085
strncmp (GNU libc 2.39)|24|5.17|5.193|21.211|10.259|72.938|3.277|1.521
strncmp (LI-PaRAD)|25|4.236|4.238|20.381|8.523|83.493|4.325|1.928
strncmp (Arm OR 23.01)|25|6.398|6.967|23.13|13.549|58.63|2.42|1.209
strncmp (GNU libc 2.39)|25|6.259|6.276|26.264|12.529|62.8|2.667|1.304
strncmp (LI-PaRAD)|26|4.235|4.238|20.27|8.516|83.583|4.506|2.009
strncmp (Arm OR 23.01)|26|6.92|7.13|23.133|14.083|56.618|2.378|1.175
strncmp (GNU libc 2.39)|26|6.256|6.277|22.284|12.451|62.874|2.789|1.357
strncmp (LI-PaRAD)|27|4.236|4.238|20.582|8.521|83.584|4.677|2.085
strncmp (Arm OR 23.01)|27|6.368|7.124|23.129|13.717|57.934|2.578|1.3
strncmp (GNU libc 2.39)|27|6.257|6.276|22.282|12.449|62.892|2.898|1.41
strncmp (LI-PaRAD)|28|4.236|4.239|20.242|8.436|83.32|4.861|2.151
strncmp (Arm OR 23.01)|28|6.921|7.13|23.136|14.251|56.11|2.533|1.267
strncmp (GNU libc 2.39)|28|6.26|6.275|22.375|12.609|62.383|2.975|1.469
strncmp (LI-PaRAD)|29|4.236|4.24|20.383|8.499|82.98|4.999|2.219
strncmp (Arm OR 23.01)|29|6.361|7.0|23.129|13.413|59.139|2.831|1.397
strncmp (GNU libc 2.39)|29|6.26|6.279|22.298|12.451|62.882|3.112|1.514
strncmp (LI-PaRAD)|30|4.237|4.238|20.247|8.318|83.853|5.254|2.285
