ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strchr (GNU libc 2.39)|25|3.079|3.082|3.089|3.082|0.073|7.554|0.006
strchr (Arm OR 23.01)|25|7.308|7.616|7.707|7.597|1.288|3.065|0.04
strchr (LI-PaRAD)|26|4.572|4.623|4.751|4.636|0.875|5.224|0.045
strchr (GNU libc 2.39)|26|3.079|3.082|3.086|3.082|0.065|7.857|0.005
strchr (Arm OR 23.01)|26|7.384|7.614|7.707|7.607|1.044|3.183|0.033
strchr (LI-PaRAD)|27|4.586|4.623|4.72|4.627|0.476|5.435|0.026
strchr (GNU libc 2.39)|27|3.079|3.082|3.11|3.082|0.112|8.159|0.009
strchr (Arm OR 23.01)|27|7.39|7.631|7.707|7.618|1.006|3.301|0.034
strchr (LI-PaRAD)|28|4.572|4.623|4.71|4.63|0.73|5.633|0.041
strchr (GNU libc 2.39)|28|3.079|3.082|3.096|3.082|0.08|8.461|0.007
strchr (Arm OR 23.01)|28|7.438|7.614|7.709|7.608|0.909|3.428|0.031
strchr (LI-PaRAD)|29|4.574|4.622|4.722|4.624|0.485|5.841|0.028
strchr (GNU libc 2.39)|29|3.079|3.082|3.086|3.082|0.068|8.763|0.006
strchr (Arm OR 23.01)|29|7.376|7.604|7.707|7.587|1.132|3.56|0.041
strchr (LI-PaRAD)|30|4.573|4.624|4.749|4.632|0.623|6.031|0.037
strchr (GNU libc 2.39)|30|3.079|3.082|3.086|3.082|0.068|9.065|0.006
strchr (Arm OR 23.01)|30|7.403|7.618|7.706|7.605|0.995|3.674|0.037
strchr (LI-PaRAD)|31|4.573|4.623|4.737|4.631|0.83|6.234|0.051
strchr (GNU libc 2.39)|31|3.079|3.082|3.096|3.082|0.082|9.367|0.008
strchr (Arm OR 23.01)|31|7.377|7.604|7.707|7.592|1.045|3.803|0.04
strchr (LI-PaRAD)|32|7.125|7.155|7.196|7.156|0.256|4.165|0.011
strchr (GNU libc 2.39)|32|3.848|3.852|3.865|3.852|0.051|7.736|0.004
strchr (Arm OR 23.01)|32|10.976|10.992|11.038|10.991|0.121|2.711|0.003
strchr (LI-PaRAD)|33|7.123|7.154|7.19|7.153|0.204|4.297|0.009
strchr (GNU libc 2.39)|33|3.848|3.852|3.859|3.852|0.04|7.978|0.003
strchr (Arm OR 23.01)|33|10.976|10.993|11.046|10.993|0.121|2.796|0.003
strchr (LI-PaRAD)|34|7.123|7.155|7.193|7.156|0.237|4.425|0.01
strchr (GNU libc 2.39)|34|3.848|3.853|3.859|3.852|0.04|8.22|0.003
strchr (Arm OR 23.01)|34|10.976|10.993|11.039|10.994|0.132|2.88|0.004
strchr (LI-PaRAD)|35|7.122|7.154|7.192|7.153|0.217|4.557|0.01
strchr (GNU libc 2.39)|35|3.848|3.851|3.86|3.852|0.035|8.463|0.003
strchr (Arm OR 23.01)|35|10.977|10.99|11.029|10.991|0.119|2.966|0.004
strchr (LI-PaRAD)|36|7.123|7.152|7.192|7.153|0.217|4.687|0.01
strchr (GNU libc 2.39)|36|3.848|3.852|3.858|3.853|0.04|8.703|0.004
strchr (Arm OR 23.01)|36|10.976|10.993|11.036|10.994|0.134|3.05|0.004
strchr (LI-PaRAD)|37|7.123|7.151|7.19|7.153|0.226|4.817|0.011
strchr (GNU libc 2.39)|37|3.848|3.853|3.861|3.853|0.046|8.944|0.004
strchr (Arm OR 23.01)|37|10.976|10.992|11.026|10.992|0.111|3.135|0.003
strchr (LI-PaRAD)|38|7.124|7.154|7.192|7.154|0.218|4.947|0.011
strchr (GNU libc 2.39)|38|3.848|3.853|3.858|3.853|0.039|9.186|0.004
strchr (Arm OR 23.01)|38|10.976|10.992|11.038|10.993|0.129|3.219|0.004
strchr (LI-PaRAD)|39|7.124|7.153|7.189|7.152|0.225|5.078|0.011
strchr (GNU libc 2.39)|39|3.848|3.853|3.863|3.853|0.047|9.428|0.004
strchr (Arm OR 23.01)|39|10.975|10.993|11.043|10.992|0.13|3.304|0.004
strchr (LI-PaRAD)|40|7.122|7.127|7.137|7.127|0.032|5.227|0.002
strchr (GNU libc 2.39)|40|3.848|3.853|3.862|3.853|0.051|9.67|0.005
strchr (Arm OR 23.01)|40|11.361|11.366|11.389|11.366|0.028|3.278|0.001
strchr (LI-PaRAD)|41|7.122|7.127|7.144|7.127|0.04|5.358|0.002
strchr (GNU libc 2.39)|41|3.848|3.852|3.865|3.853|0.049|9.912|0.005
strchr (Arm OR 23.01)|41|11.36|11.365|11.38|11.365|0.023|3.36|0.001
strchr (LI-PaRAD)|42|7.122|7.127|7.137|7.127|0.036|5.488|0.002
strchr (GNU libc 2.39)|42|3.848|3.853|3.855|3.852|0.04|10.154|0.004
strchr (Arm OR 23.01)|42|11.36|11.365|11.37|11.365|0.019|3.442|0.001
strchr (LI-PaRAD)|43|7.123|7.128|7.135|7.127|0.034|5.619|0.002
strchr (GNU libc 2.39)|43|3.848|3.852|3.879|3.853|0.084|10.395|0.009
strchr (Arm OR 23.01)|43|11.36|11.365|11.369|11.365|0.018|3.524|0.001
strchr (LI-PaRAD)|44|7.122|7.127|7.141|7.127|0.038|5.75|0.002
strchr (GNU libc 2.39)|44|3.848|3.853|3.87|3.853|0.065|10.636|0.007
strchr (Arm OR 23.01)|44|11.36|11.366|11.369|11.365|0.019|3.606|0.001
strchr (LI-PaRAD)|45|7.123|7.128|7.188|7.128|0.09|5.88|0.005
strchr (GNU libc 2.39)|45|3.848|3.853|3.858|3.853|0.044|10.878|0.005
strchr (Arm OR 23.01)|45|11.36|11.365|11.369|11.365|0.017|3.688|0.001
strchr (LI-PaRAD)|46|7.122|7.127|7.138|7.127|0.034|6.011|0.002
strchr (GNU libc 2.39)|46|3.848|3.852|3.862|3.852|0.049|11.12|0.005
strchr (Arm OR 23.01)|46|11.361|11.365|11.369|11.365|0.018|3.77|0.001
strchr (LI-PaRAD)|47|7.123|7.127|7.139|7.127|0.038|6.142|0.002
strchr (GNU libc 2.39)|47|3.848|3.853|3.858|3.853|0.044|11.361|0.005
strchr (Arm OR 23.01)|47|11.361|11.365|11.37|11.365|0.019|3.851|0.001
strchr (LI-PaRAD)|48|7.123|7.128|7.135|7.127|0.032|6.272|0.002
strchr (GNU libc 2.39)|48|4.235|4.238|4.252|4.238|0.054|10.548|0.006
strchr (Arm OR 23.01)|48|11.361|11.366|11.373|11.365|0.019|3.933|0.001
strchr (LI-PaRAD)|49|7.123|7.128|7.133|7.127|0.029|6.403|0.002
strchr (GNU libc 2.39)|49|4.235|4.238|4.247|4.238|0.046|10.769|0.005
strchr (Arm OR 23.01)|49|11.36|11.365|11.369|11.365|0.019|4.015|0.001
strchr (LI-PaRAD)|50|7.122|7.127|7.135|7.127|0.029|6.534|0.002
strchr (GNU libc 2.39)|50|4.236|4.238|4.28|4.238|0.121|10.987|0.013
strchr (Arm OR 23.01)|50|11.36|11.365|11.375|11.365|0.021|4.097|0.001
strchr (LI-PaRAD)|51|7.122|7.127|7.142|7.127|0.035|6.665|0.002
strchr (GNU libc 2.39)|51|4.235|4.238|4.244|4.238|0.043|11.208|0.005
strchr (Arm OR 23.01)|51|11.361|11.365|11.369|11.365|0.018|4.179|0.001
strchr (LI-PaRAD)|52|7.123|7.127|7.14|7.127|0.037|6.795|0.003
strchr (GNU libc 2.39)|52|4.236|4.238|4.245|4.238|0.043|11.428|0.005
strchr (Arm OR 23.01)|52|11.361|11.366|12.604|11.387|1.257|4.254|0.049
strchr (LI-PaRAD)|53|7.123|7.127|7.14|7.127|0.034|6.926|0.002
strchr (GNU libc 2.39)|53|4.236|4.238|4.243|4.238|0.043|11.647|0.005
strchr (Arm OR 23.01)|53|11.361|11.365|11.374|11.365|0.02|4.343|0.001
strchr (LI-PaRAD)|54|7.123|7.128|7.137|7.127|0.034|7.056|0.002
