ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcpy (Arm OR 23.01)|20|5.909|6.124|6.357|6.128|1.497|3.04|0.046
strcpy (LI-PaRAD)|21|2.31|2.311|2.318|2.312|0.078|8.461|0.007
strcpy (GNU libc 2.39)|21|2.745|2.79|2.798|2.786|0.409|7.021|0.029
strcpy (Arm OR 23.01)|21|5.903|6.164|6.299|6.146|1.42|3.183|0.046
strcpy (LI-PaRAD)|22|2.31|2.311|2.316|2.312|0.065|8.864|0.006
strcpy (GNU libc 2.39)|22|2.859|2.88|2.888|2.88|0.18|7.115|0.013
strcpy (Arm OR 23.01)|22|5.908|6.156|6.313|6.151|1.432|3.331|0.048
strcpy (LI-PaRAD)|23|2.31|2.311|2.325|2.312|0.095|9.266|0.009
strcpy (GNU libc 2.39)|23|2.711|2.759|2.772|2.753|0.549|7.78|0.043
strcpy (Arm OR 23.01)|23|5.946|6.152|6.271|6.148|1.336|3.485|0.047
strcpy (LI-PaRAD)|24|2.589|2.661|2.689|2.663|0.463|8.394|0.039
strcpy (GNU libc 2.39)|24|3.068|3.078|3.092|3.078|0.187|7.261|0.014
strcpy (Arm OR 23.01)|24|5.775|5.812|5.897|5.808|0.503|3.848|0.019
strcpy (LI-PaRAD)|25|2.31|2.311|2.318|2.312|0.073|10.072|0.007
strcpy (GNU libc 2.39)|25|2.745|2.785|2.809|2.78|0.48|8.374|0.04
strcpy (Arm OR 23.01)|25|6.004|6.149|6.358|6.153|1.254|3.785|0.047
strcpy (LI-PaRAD)|26|2.528|2.661|2.695|2.662|0.699|9.098|0.065
strcpy (GNU libc 2.39)|26|3.068|3.078|3.091|3.078|0.189|7.867|0.015
strcpy (Arm OR 23.01)|26|5.774|5.81|5.869|5.806|0.469|4.171|0.019
strcpy (LI-PaRAD)|27|2.31|2.311|2.317|2.312|0.074|10.878|0.008
strcpy (GNU libc 2.39)|27|2.726|2.763|2.772|2.758|0.409|9.117|0.037
strcpy (Arm OR 23.01)|27|5.922|6.138|6.327|6.146|1.297|4.092|0.053
strcpy (LI-PaRAD)|28|2.649|2.666|2.723|2.672|0.599|9.76|0.058
strcpy (GNU libc 2.39)|28|3.068|3.078|3.091|3.078|0.186|8.472|0.016
strcpy (Arm OR 23.01)|28|5.775|5.81|5.891|5.806|0.44|4.492|0.02
strcpy (LI-PaRAD)|29|2.31|2.311|2.348|2.312|0.171|11.683|0.02
