ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcmp (GNU libc 2.39)|33554432|3375968.0|3399361.5|3454858.5|3402233.153|0.48|9.185|0.044
strcmp (Arm OR 23.01)|33554432|4282814.0|4333754.5|4388557.0|4331827.287|0.524|7.214|0.038
strcmp (LI-PaRAD)|67108864|4894942.0|5034526.5|5182513.5|5032453.931|1.41|12.422|0.175
strcmp (GNU libc 2.39)|67108864|6751972.0|6771035.5|6855385.0|6778227.594|0.347|9.221|0.032
strcmp (Arm OR 23.01)|67108864|8741017.5|8767647.0|8795217.5|8766736.045|0.121|7.129|0.009
strcmp (LI-PaRAD)|134217728|9803654.5|10112222.5|10420231.5|10120076.832|1.126|12.353|0.139
strcmp (GNU libc 2.39)|134217728|13490933.0|13528081.5|15851840.0|13562609.941|1.725|9.219|0.137
strcmp (Arm OR 23.01)|134217728|17404048.0|17595082.0|17606302.0|17589549.837|0.168|7.107|0.012
strcmp (LI-PaRAD)|268435456|19849215.0|20280260.0|20674951.5|20264561.757|0.877|12.338|0.108
strcmp (GNU libc 2.39)|268435456|26966265.5|27022894.5|27391020.5|27048558.693|0.319|9.243|0.029
strcmp (Arm OR 23.01)|268435456|34546820.0|35109605.0|35174183.0|34902565.069|0.706|7.163|0.051
strcmp (LI-PaRAD)|536870912|40018159.5|40643368.0|41382255.5|40634181.287|0.575|12.305|0.071
strcmp (GNU libc 2.39)|536870912|53950906.0|54065808.0|54571895.5|54086967.767|0.207|9.244|0.019
strcmp (Arm OR 23.01)|536870912|68809861.5|69959250.5|70053283.5|69834345.198|0.479|7.16|0.035
