ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcmp (Arm OR 23.01)|67108864|6127792.0|6192320.0|6236544.0|6189106.376|0.361|10.099|0.037
strcmp (LI-PaRAD)|134217728|9042672.0|9200896.0|10543776.0|9609443.01|6.51|13.06|0.812
strcmp (GNU libc 2.34)|134217728|9328368.0|10241536.0|10625824.0|10042204.198|3.801|12.466|0.485
strcmp (Arm OR 23.01)|134217728|12161456.0|12274896.0|12415952.0|12278016.317|0.374|10.181|0.038
strcmp (LI-PaRAD)|268435456|20116352.0|20762064.0|21112912.0|20634339.01|1.562|12.119|0.191
strcmp (GNU libc 2.34)|268435456|20342080.0|20488752.0|23356128.0|21129722.455|5.51|11.865|0.611
strcmp (Arm OR 23.01)|268435456|24481360.0|24737936.0|24884896.0|24699662.257|0.351|10.122|0.036
strcmp (LI-PaRAD)|536870912|44208896.0|44282416.0|44477408.0|44277714.851|0.077|11.292|0.009
strcmp (GNU libc 2.34)|536870912|43453824.0|43644400.0|44735360.0|43912893.782|1.095|11.388|0.123
strcmp (Arm OR 23.01)|536870912|49446576.0|49484752.0|49588560.0|49487271.129|0.054|10.104|0.005
