ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
memcmp (Arm OR 23.01)|67108864|3314496.0|4377344.0|5480496.0|4106909.307|16.485|15.631|2.549
memcmp (LI-PaRAD)|134217728|9797520.0|10223760.0|10907664.0|10238046.733|2.533|12.217|0.303
memcmp (GNU libc 2.34)|134217728|8550240.0|9003696.0|10418112.0|9093245.307|5.49|13.786|0.733
memcmp (Arm OR 23.01)|134217728|10130592.0|10422304.0|11477728.0|10585360.0|4.054|11.827|0.465
memcmp (LI-PaRAD)|268435456|20538272.0|20582832.0|21262416.0|20774111.525|1.286|12.036|0.154
memcmp (GNU libc 2.34)|268435456|20229328.0|20885392.0|21939584.0|20995240.713|1.732|11.911|0.207
memcmp (Arm OR 23.01)|268435456|22975344.0|23018400.0|23225776.0|23029987.802|0.16|10.855|0.017
memcmp (LI-PaRAD)|536870912|44526928.0|45112688.0|45244672.0|45020127.208|0.485|11.106|0.054
memcmp (GNU libc 2.34)|536870912|43709632.0|45755520.0|46428688.0|45625024.475|1.459|10.961|0.163
memcmp (Arm OR 23.01)|536870912|45574320.0|45838608.0|46229584.0|45875200.95|0.375|10.899|0.041
