ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strchr (LI-PaRAD)|24|4.573|4.623|4.753|4.635|0.796|4.822|0.038
strchr (GNU libc 2.39)|24|3.079|3.082|3.091|3.082|0.076|7.252|0.005
strchr (Arm OR 23.01)|24|7.196|7.624|7.706|7.584|1.434|2.948|0.043
strchr (LI-PaRAD)|25|4.572|4.623|4.743|4.627|0.703|5.032|0.035
strchr (GNU libc 2.39)|25|3.079|3.082|3.091|3.082|0.074|7.554|0.006
strchr (Arm OR 23.01)|25|7.108|7.623|7.707|7.581|1.533|3.072|0.048
strchr (LI-PaRAD)|26|4.573|4.624|4.752|4.638|0.886|5.221|0.046
strchr (GNU libc 2.39)|26|3.079|3.082|3.086|3.082|0.066|7.857|0.005
strchr (Arm OR 23.01)|26|7.377|7.639|7.707|7.614|1.02|3.181|0.033
strchr (LI-PaRAD)|27|4.584|4.623|4.708|4.633|0.569|5.428|0.031
strchr (GNU libc 2.39)|27|3.079|3.082|3.091|3.082|0.072|8.159|0.006
strchr (Arm OR 23.01)|27|7.279|7.616|7.706|7.597|1.098|3.31|0.037
strchr (LI-PaRAD)|28|4.576|4.623|4.751|4.635|0.75|5.626|0.042
strchr (GNU libc 2.39)|28|3.079|3.082|3.092|3.082|0.076|8.461|0.006
strchr (Arm OR 23.01)|28|7.299|7.626|7.705|7.59|1.285|3.436|0.045
strchr (LI-PaRAD)|29|4.573|4.623|4.748|4.631|0.628|5.832|0.036
strchr (GNU libc 2.39)|29|3.079|3.082|3.091|3.082|0.074|8.763|0.006
strchr (Arm OR 23.01)|29|7.28|7.625|7.706|7.582|1.399|3.563|0.05
strchr (LI-PaRAD)|30|4.574|4.624|4.732|4.639|0.789|6.023|0.047
strchr (GNU libc 2.39)|30|3.079|3.082|3.087|3.082|0.068|9.066|0.006
strchr (Arm OR 23.01)|30|7.272|7.617|7.706|7.602|1.168|3.676|0.044
strchr (LI-PaRAD)|31|4.572|4.623|4.729|4.632|0.795|6.233|0.049
strchr (GNU libc 2.39)|31|3.079|3.082|3.087|3.082|0.065|9.368|0.006
strchr (Arm OR 23.01)|31|7.338|7.624|7.711|7.616|0.981|3.791|0.038
strchr (LI-PaRAD)|32|7.122|7.128|7.139|7.127|0.035|4.181|0.001
strchr (GNU libc 2.39)|32|3.848|3.853|3.862|3.853|0.048|7.736|0.004
strchr (Arm OR 23.01)|32|11.361|11.365|11.379|11.365|0.022|2.622|0.001
strchr (LI-PaRAD)|33|7.122|7.128|7.132|7.127|0.028|4.312|0.001
strchr (GNU libc 2.39)|33|3.848|3.853|3.858|3.852|0.042|7.978|0.003
strchr (Arm OR 23.01)|33|11.361|11.365|11.369|11.365|0.018|2.704|0.0
strchr (LI-PaRAD)|34|7.122|7.127|7.137|7.127|0.034|4.443|0.001
strchr (GNU libc 2.39)|34|3.848|3.853|3.861|3.853|0.042|8.219|0.003
strchr (Arm OR 23.01)|34|11.36|11.365|11.369|11.365|0.018|2.786|0.001
strchr (LI-PaRAD)|35|7.122|7.127|7.138|7.127|0.032|4.574|0.001
strchr (GNU libc 2.39)|35|3.848|3.852|3.858|3.852|0.038|8.462|0.003
strchr (Arm OR 23.01)|35|11.361|11.365|11.394|11.366|0.039|2.868|0.001
strchr (LI-PaRAD)|36|7.123|7.128|7.155|7.128|0.054|4.704|0.003
strchr (GNU libc 2.39)|36|3.848|3.852|3.859|3.852|0.042|8.703|0.004
strchr (Arm OR 23.01)|36|11.36|11.365|11.369|11.365|0.017|2.95|0.001
strchr (LI-PaRAD)|37|7.123|7.127|7.137|7.127|0.032|4.835|0.002
strchr (GNU libc 2.39)|37|3.848|3.852|3.86|3.853|0.045|8.944|0.004
strchr (Arm OR 23.01)|37|11.361|11.365|11.369|11.365|0.018|3.032|0.001
strchr (LI-PaRAD)|38|7.122|7.128|7.131|7.127|0.028|4.966|0.001
strchr (GNU libc 2.39)|38|3.848|3.853|3.862|3.853|0.049|9.186|0.005
strchr (Arm OR 23.01)|38|11.361|11.365|11.374|11.365|0.019|3.114|0.001
strchr (LI-PaRAD)|39|7.123|7.128|7.133|7.127|0.029|5.096|0.001
strchr (GNU libc 2.39)|39|3.848|3.853|3.925|3.853|0.192|9.426|0.018
