ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strnlen (Arm OR 23.01)|23|5.779|6.252|6.551|6.23|3.395|3.442|0.118
strnlen (LI-PaRAD)|24|2.755|2.889|2.893|2.875|1.248|7.776|0.1
strnlen (GNU libc 2.39)|24|3.079|3.083|3.085|3.082|0.064|7.252|0.005
strnlen (Arm OR 23.01)|24|5.774|6.265|6.552|6.247|3.482|3.582|0.126
strnlen (LI-PaRAD)|25|2.756|2.889|2.893|2.882|0.925|8.078|0.078
strnlen (GNU libc 2.39)|25|3.079|3.083|3.087|3.082|0.064|7.554|0.005
strnlen (Arm OR 23.01)|25|5.774|6.293|6.551|6.253|3.364|3.728|0.127
strnlen (LI-PaRAD)|26|2.754|2.89|2.894|2.887|0.662|8.389|0.058
strnlen (GNU libc 2.39)|26|3.079|3.083|3.09|3.082|0.067|7.856|0.005
strnlen (Arm OR 23.01)|26|5.776|6.268|6.552|6.241|3.31|3.884|0.131
strnlen (LI-PaRAD)|27|2.751|2.889|2.893|2.886|0.675|8.713|0.062
strnlen (GNU libc 2.39)|27|3.079|3.083|3.085|3.082|0.062|8.159|0.005
strnlen (Arm OR 23.01)|27|5.778|6.261|6.552|6.214|3.541|4.052|0.144
strnlen (LI-PaRAD)|28|2.755|2.888|2.924|2.876|1.197|9.07|0.112
strnlen (GNU libc 2.39)|28|3.079|3.082|3.086|3.082|0.065|8.461|0.005
strnlen (Arm OR 23.01)|28|5.779|6.265|6.549|6.247|3.082|4.178|0.129
strnlen (LI-PaRAD)|29|2.697|2.888|2.895|2.876|1.188|9.394|0.116
strnlen (GNU libc 2.39)|29|3.079|3.082|3.086|3.082|0.061|8.763|0.005
strnlen (Arm OR 23.01)|29|5.792|6.255|6.551|6.248|3.294|4.327|0.142
strnlen (LI-PaRAD)|30|2.754|2.889|2.893|2.885|0.661|9.686|0.066
strnlen (GNU libc 2.39)|30|3.079|3.083|3.086|3.082|0.064|9.065|0.006
strnlen (Arm OR 23.01)|30|5.78|6.266|6.552|6.253|3.047|4.473|0.138
strnlen (LI-PaRAD)|31|2.755|2.89|2.893|2.884|0.806|10.013|0.084
strnlen (GNU libc 2.39)|31|3.079|3.083|3.086|3.082|0.068|9.367|0.006
strnlen (Arm OR 23.01)|31|5.78|6.271|6.551|6.261|3.126|4.615|0.145
strnlen (LI-PaRAD)|32|3.079|3.082|3.087|3.082|0.068|9.67|0.007
strnlen (GNU libc 2.39)|32|3.03|3.036|3.042|3.035|0.104|9.82|0.01
strnlen (Arm OR 23.01)|32|6.425|6.428|6.467|6.429|0.068|4.636|0.003
strnlen (LI-PaRAD)|33|4.236|4.28|4.348|4.278|0.613|7.184|0.044
strnlen (GNU libc 2.39)|33|3.395|3.497|3.54|3.492|1.068|8.802|0.094
strnlen (Arm OR 23.01)|33|6.929|6.934|6.938|6.934|0.029|4.432|0.001
strnlen (LI-PaRAD)|34|4.236|4.238|4.244|4.238|0.044|7.471|0.003
strnlen (GNU libc 2.39)|34|3.389|3.505|3.542|3.495|1.158|9.061|0.106
strnlen (Arm OR 23.01)|34|6.93|6.934|6.938|6.934|0.026|4.567|0.001
strnlen (LI-PaRAD)|35|4.236|4.238|4.247|4.238|0.047|7.691|0.004
strnlen (GNU libc 2.39)|35|3.407|3.484|3.542|3.487|1.028|9.35|0.096
strnlen (Arm OR 23.01)|35|6.93|6.934|6.967|6.934|0.055|4.701|0.003
strnlen (LI-PaRAD)|36|4.236|4.278|4.35|4.275|0.67|7.844|0.052
strnlen (GNU libc 2.39)|36|3.4|3.492|3.539|3.486|1.197|9.62|0.116
strnlen (Arm OR 23.01)|36|6.93|6.934|6.937|6.934|0.027|4.835|0.001
strnlen (LI-PaRAD)|37|4.235|4.281|4.359|4.28|0.777|8.052|0.062
strnlen (GNU libc 2.39)|37|3.387|3.497|3.538|3.49|1.071|9.874|0.107
strnlen (Arm OR 23.01)|37|6.93|6.934|6.938|6.934|0.028|4.97|0.001
strnlen (LI-PaRAD)|38|4.236|4.238|4.244|4.238|0.043|8.35|0.004
strnlen (GNU libc 2.39)|38|3.41|3.492|3.543|3.486|1.02|10.155|0.104
strnlen (Arm OR 23.01)|38|6.93|6.934|6.938|6.934|0.028|5.104|0.001
strnlen (LI-PaRAD)|39|4.236|4.238|4.273|4.238|0.092|8.569|0.008
strnlen (GNU libc 2.39)|39|3.392|3.494|3.542|3.487|1.091|10.418|0.114
strnlen (Arm OR 23.01)|39|6.929|6.934|6.938|6.934|0.028|5.238|0.001
strnlen (LI-PaRAD)|40|4.236|4.278|4.354|4.273|0.561|8.718|0.049
strnlen (GNU libc 2.39)|40|3.4|3.482|3.54|3.484|1.161|10.694|0.125
