ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strlen (LI-PaRAD)|21|2.244|2.248|18.265|4.626|123.645|7.564|2.725
strlen (Arm OR 23.01)|21|6.156|6.165|22.176|12.343|63.433|2.288|1.121
strlen (GNU libc 2.39)|21|2.92|2.93|19.078|5.786|106.435|5.666|2.169
strlen (LI-PaRAD)|22|2.244|2.248|18.289|4.47|124.312|7.993|2.77
strlen (Arm OR 23.01)|22|6.155|6.166|22.173|12.265|63.178|2.401|1.169
strlen (GNU libc 2.39)|22|2.923|2.931|18.999|5.788|106.309|5.927|2.268
strlen (LI-PaRAD)|23|2.244|2.248|18.293|4.469|124.342|8.36|2.898
strlen (Arm OR 23.01)|23|6.16|6.166|22.172|12.343|63.432|2.506|1.227
strlen (GNU libc 2.39)|23|2.922|2.93|19.013|5.941|105.838|6.15|2.428
strlen (LI-PaRAD)|24|2.246|2.247|18.282|4.47|124.316|8.72|3.023
strlen (Arm OR 23.01)|24|6.156|6.166|22.174|12.383|63.056|2.601|1.277
strlen (GNU libc 2.39)|24|2.914|2.93|18.941|5.623|107.032|6.546|2.426
strlen (LI-PaRAD)|25|2.244|2.248|18.285|4.469|124.333|9.086|3.149
strlen (Arm OR 23.01)|25|6.159|6.167|34.163|12.344|64.413|2.727|1.331
strlen (GNU libc 2.39)|25|2.921|2.93|18.949|5.789|106.272|6.732|2.576
strlen (LI-PaRAD)|26|2.244|2.248|18.308|4.468|124.416|9.459|3.279
strlen (Arm OR 23.01)|26|6.156|6.166|22.172|12.303|63.309|2.836|1.385
strlen (GNU libc 2.39)|26|2.921|2.93|18.95|5.942|105.776|6.947|2.742
strlen (LI-PaRAD)|27|2.244|2.248|18.287|4.47|124.338|9.812|3.401
strlen (Arm OR 23.01)|27|6.16|6.166|22.171|12.422|62.68|2.918|1.442
strlen (GNU libc 2.39)|27|2.924|2.93|19.021|5.945|105.751|7.209|2.846
strlen (LI-PaRAD)|28|2.244|2.248|18.286|4.469|124.358|10.179|3.528
strlen (Arm OR 23.01)|28|6.159|6.166|22.17|12.343|63.43|3.051|1.494
strlen (GNU libc 2.39)|28|2.918|2.93|18.958|5.94|105.83|7.487|2.956
strlen (LI-PaRAD)|29|2.244|2.248|18.299|4.469|124.373|10.544|3.655
strlen (Arm OR 23.01)|29|6.157|6.165|22.172|12.343|63.434|3.16|1.548
strlen (GNU libc 2.39)|29|2.923|2.931|19.037|5.943|105.794|7.748|3.059
strlen (LI-PaRAD)|30|2.244|2.247|18.304|4.468|124.416|10.914|3.783
strlen (Arm OR 23.01)|30|6.16|6.166|22.171|12.343|63.431|3.269|1.601
strlen (GNU libc 2.39)|30|2.922|2.93|18.954|5.786|106.339|8.086|3.095
strlen (LI-PaRAD)|31|2.244|2.248|18.272|4.625|123.679|11.171|4.025
strlen (Arm OR 23.01)|31|6.154|6.166|22.17|12.304|63.309|3.381|1.651
strlen (GNU libc 2.39)|31|2.922|2.931|26.932|5.829|108.15|8.351|3.198
strlen (LI-PaRAD)|32|2.993|3.09|19.319|6.106|103.223|8.138|3.194
strlen (Arm OR 23.01)|32|8.089|20.096|36.093|16.171|50.451|2.451|1.227
strlen (GNU libc 2.39)|32|3.406|3.674|19.684|7.232|92.265|6.687|2.814
strlen (LI-PaRAD)|33|2.994|3.129|19.325|6.102|103.199|8.395|3.294
strlen (Arm OR 23.01)|33|8.089|24.09|24.1|16.29|49.162|2.502|1.265
strlen (GNU libc 2.39)|33|3.399|3.673|27.675|7.235|93.394|6.906|2.902
strlen (LI-PaRAD)|34|2.994|3.118|19.236|6.254|102.346|8.556|3.454
strlen (Arm OR 23.01)|34|8.089|24.09|28.092|16.211|49.902|2.599|1.308
strlen (GNU libc 2.39)|34|3.403|3.673|19.682|7.223|92.503|7.131|3.005
strlen (LI-PaRAD)|35|2.994|3.119|19.31|6.154|102.343|8.822|3.507
strlen (Arm OR 23.01)|35|8.088|24.09|24.096|16.171|49.721|2.678|1.345
strlen (GNU libc 2.39)|35|3.453|3.673|19.684|7.286|92.576|7.292|3.077
strlen (LI-PaRAD)|36|2.994|3.157|19.278|6.287|101.982|8.98|3.619
strlen (Arm OR 23.01)|36|8.089|24.09|24.098|16.171|49.721|2.754|1.383
strlen (GNU libc 2.39)|36|3.504|3.675|19.685|7.296|92.298|7.469|3.145
strlen (LI-PaRAD)|37|2.994|3.138|19.33|6.103|103.159|9.408|3.692
strlen (Arm OR 23.01)|37|8.089|24.091|24.1|16.171|49.715|2.83|1.421
strlen (GNU libc 2.39)|37|3.474|3.673|19.682|7.279|92.612|7.72|3.258
strlen (LI-PaRAD)|38|2.994|3.14|19.306|6.272|102.278|9.529|3.847
strlen (Arm OR 23.01)|38|8.089|24.09|24.101|16.29|49.159|2.881|1.456
strlen (GNU libc 2.39)|38|3.475|3.674|19.683|7.289|92.44|7.904|3.332
strlen (LI-PaRAD)|39|2.994|3.142|19.308|6.283|101.87|9.725|3.92
strlen (Arm OR 23.01)|39|8.088|24.089|24.096|16.012|50.211|3.013|1.498
strlen (GNU libc 2.39)|39|3.416|3.674|19.684|7.254|92.039|8.106|3.406
strlen (LI-PaRAD)|40|2.994|3.138|19.282|6.274|102.238|10.023|4.045
strlen (Arm OR 23.01)|40|8.088|24.09|24.099|16.171|49.719|3.06|1.536
strlen (GNU libc 2.39)|40|3.476|3.674|23.482|7.221|92.27|8.312|3.471
strlen (LI-PaRAD)|41|2.994|3.14|19.217|6.268|102.213|10.282|4.15
strlen (Arm OR 23.01)|41|8.089|24.09|24.097|16.131|49.659|3.14|1.572
strlen (GNU libc 2.39)|41|3.49|3.674|31.683|7.533|94.209|8.43|3.648
strlen (LI-PaRAD)|42|2.994|3.1|23.125|6.147|104.227|10.685|4.203
strlen (Arm OR 23.01)|42|8.09|24.09|24.098|16.171|49.718|3.213|1.613
strlen (GNU libc 2.39)|42|3.477|3.673|19.683|7.294|92.424|8.727|3.678
strlen (LI-PaRAD)|43|2.994|3.139|19.306|6.271|102.282|10.783|4.35
strlen (Arm OR 23.01)|43|8.089|24.09|24.097|16.171|49.721|3.29|1.652
strlen (GNU libc 2.39)|43|3.526|3.674|19.685|7.26|91.863|8.914|3.741
strlen (LI-PaRAD)|44|2.994|3.1|19.323|6.264|102.75|11.097|4.486
strlen (Arm OR 23.01)|44|8.09|20.092|24.095|16.052|49.651|3.378|1.681
strlen (GNU libc 2.39)|44|3.473|3.674|19.684|7.295|92.466|9.145|3.855
strlen (LI-PaRAD)|45|2.994|3.139|19.322|6.276|102.204|11.269|4.547
strlen (Arm OR 23.01)|45|8.089|24.09|24.099|16.171|49.721|3.443|1.729
strlen (GNU libc 2.39)|45|3.476|3.674|19.683|7.291|92.373|9.35|3.94
strlen (LI-PaRAD)|46|2.994|3.119|19.279|6.266|102.283|11.548|4.663
strlen (Arm OR 23.01)|46|8.089|24.089|24.097|16.131|49.66|3.523|1.764
strlen (GNU libc 2.39)|46|3.476|3.675|19.682|7.421|91.418|9.452|4.069
strlen (LI-PaRAD)|47|2.994|3.113|19.324|6.102|103.167|11.952|4.688
strlen (Arm OR 23.01)|47|8.089|24.091|24.099|16.172|49.717|3.595|1.805
strlen (GNU libc 2.39)|47|3.524|3.675|19.686|7.46|91.625|9.64|4.159
strlen (LI-PaRAD)|48|2.994|3.135|19.259|6.262|102.231|12.051|4.864
strlen (Arm OR 23.01)|48|8.089|24.091|24.118|16.171|49.722|3.672|1.844
strlen (GNU libc 2.39)|48|3.726|3.743|19.752|7.425|90.699|9.682|4.094
strlen (LI-PaRAD)|49|2.994|3.134|19.313|5.991|102.925|12.485|4.815
strlen (Arm OR 23.01)|49|8.089|24.09|24.109|16.33|49.219|3.711|1.882
strlen (GNU libc 2.39)|49|3.729|3.744|19.852|7.388|90.347|9.887|4.168
strlen (LI-PaRAD)|50|2.994|3.117|19.261|6.209|102.04|12.612|5.075
strlen (Arm OR 23.01)|50|8.088|24.091|28.092|16.21|49.904|3.823|1.924
strlen (GNU libc 2.39)|50|3.727|3.744|31.745|7.664|93.388|10.039|4.331
strlen (LI-PaRAD)|51|2.994|3.088|19.279|6.245|102.848|12.911|5.219
strlen (Arm OR 23.01)|51|8.089|24.09|24.121|16.132|49.66|3.905|1.956
strlen (GNU libc 2.39)|51|3.732|3.744|19.753|7.545|90.73|10.249|4.401
strlen (LI-PaRAD)|52|2.994|3.106|19.278|6.097|103.197|13.239|5.195
strlen (Arm OR 23.01)|52|8.089|24.09|24.096|16.131|49.658|3.982|1.994
strlen (GNU libc 2.39)|52|3.733|3.744|19.753|7.505|90.413|10.456|4.476
strlen (LI-PaRAD)|53|2.994|3.115|19.281|6.209|102.201|13.39|5.394
