        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s
 strcpy Arm optimized-routines |          15 |          5.948 |          6.208 |          6.391 |          6.177 |          1.547 |          2.262 |          0.035
          strcpy GNU libc 2.39 |          15 |          2.463 |          2.516 |          2.558 |          2.510 |          1.359 |          5.566 |          0.076
       strcpy LI-PaRAD/EMOPASS |          15 |          2.308 |          2.311 |          2.317 |          2.312 |          0.117 |          6.044 |          0.007
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          16 |          5.904 |          6.201 |          6.348 |          6.164 |          1.504 |          2.418 |          0.037
          strcpy GNU libc 2.39 |          16 |          2.815 |          2.863 |          2.872 |          2.861 |          0.340 |          5.209 |          0.018
       strcpy LI-PaRAD/EMOPASS |          16 |          2.209 |          2.311 |          2.316 |          2.304 |          0.894 |          6.468 |          0.059
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          17 |          5.993 |          6.201 |          6.383 |          6.177 |          1.271 |          2.564 |          0.033
          strcpy GNU libc 2.39 |          17 |          2.890 |          2.924 |          2.941 |          2.922 |          0.415 |          5.418 |          0.023
       strcpy LI-PaRAD/EMOPASS |          17 |          2.308 |          2.311 |          2.316 |          2.311 |          0.112 |          6.850 |          0.008
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          18 |          5.970 |          6.212 |          6.296 |          6.185 |          1.242 |          2.711 |          0.034
          strcpy GNU libc 2.39 |          18 |          2.889 |          2.926 |          2.943 |          2.925 |          0.425 |          5.732 |          0.024
       strcpy LI-PaRAD/EMOPASS |          18 |          2.261 |          2.308 |          2.316 |          2.297 |          0.814 |          7.298 |          0.060
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          19 |          5.946 |          6.207 |          6.359 |          6.175 |          1.385 |          2.866 |          0.040
          strcpy GNU libc 2.39 |          19 |          2.776 |          2.830 |          2.845 |          2.823 |          0.608 |          6.268 |          0.038
       strcpy LI-PaRAD/EMOPASS |          19 |          2.308 |          2.312 |          2.316 |          2.311 |          0.112 |          7.656 |          0.009
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          20 |          5.905 |          6.211 |          6.398 |          6.178 |          1.507 |          3.016 |          0.046
          strcpy GNU libc 2.39 |          20 |          2.829 |          2.864 |          2.871 |          2.861 |          0.286 |          6.510 |          0.019
       strcpy LI-PaRAD/EMOPASS |          20 |          2.206 |          2.288 |          2.330 |          2.282 |          1.352 |          8.163 |          0.111
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          21 |          5.948 |          6.211 |          6.401 |          6.192 |          1.383 |          3.159 |          0.044
          strcpy GNU libc 2.39 |          21 |          2.888 |          2.923 |          2.941 |          2.922 |          0.396 |          6.692 |          0.027
       strcpy LI-PaRAD/EMOPASS |          21 |          2.308 |          2.312 |          2.317 |          2.311 |          0.113 |          8.461 |          0.010
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          22 |          5.905 |          6.210 |          6.403 |          6.181 |          1.531 |          3.316 |          0.051
          strcpy GNU libc 2.39 |          22 |          2.889 |          2.926 |          2.944 |          2.925 |          0.419 |          7.006 |          0.029
       strcpy LI-PaRAD/EMOPASS |          22 |          2.262 |          2.273 |          2.315 |          2.281 |          0.728 |          8.985 |          0.065
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          23 |          5.947 |          6.211 |          6.316 |          6.187 |          1.174 |          3.462 |          0.041
          strcpy GNU libc 2.39 |          23 |          2.775 |          2.833 |          2.842 |          2.826 |          0.574 |          7.581 |          0.044
       strcpy LI-PaRAD/EMOPASS |          23 |          2.308 |          2.312 |          2.316 |          2.311 |          0.113 |          9.267 |          0.011
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          24 |          5.946 |          6.203 |          6.393 |          6.178 |          1.345 |          3.619 |          0.049
          strcpy GNU libc 2.39 |          24 |          2.847 |          2.875 |          2.905 |          2.874 |          0.270 |          7.777 |          0.021
       strcpy LI-PaRAD/EMOPASS |          24 |          2.250 |          2.265 |          2.329 |          2.274 |          0.769 |          9.832 |          0.075
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          25 |          5.963 |          6.199 |          6.380 |          6.172 |          1.394 |          3.773 |          0.053
          strcpy GNU libc 2.39 |          25 |          2.888 |          2.923 |          2.942 |          2.923 |          0.416 |          7.967 |          0.033
       strcpy LI-PaRAD/EMOPASS |          25 |          2.308 |          2.311 |          2.316 |          2.311 |          0.116 |         10.073 |          0.012
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          26 |          5.920 |          6.201 |          6.380 |          6.183 |          1.454 |          3.917 |          0.057
          strcpy GNU libc 2.39 |          26 |          2.848 |          2.875 |          2.891 |          2.873 |          0.268 |          8.428 |          0.023
       strcpy LI-PaRAD/EMOPASS |          26 |          2.308 |          2.312 |          2.317 |          2.312 |          0.118 |         10.475 |          0.012
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
