ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strrchr (Arm OR 23.01)|20|7.245|7.562|7.897|7.546|2.098|2.47|0.052
strrchr (LI-PaRAD)|21|5.39|5.394|5.396|5.393|0.035|3.626|0.001
strrchr (GNU libc 2.39)|21|3.849|3.852|3.858|3.852|0.036|5.077|0.002
strrchr (Arm OR 23.01)|21|7.193|7.559|7.897|7.563|1.99|2.587|0.051
strrchr (LI-PaRAD)|22|5.39|5.394|5.396|5.393|0.034|3.799|0.001
strrchr (GNU libc 2.39)|22|3.849|3.852|3.856|3.853|0.037|5.318|0.002
strrchr (Arm OR 23.01)|22|7.221|7.58|7.906|7.566|2.159|2.709|0.059
strrchr (LI-PaRAD)|23|5.389|5.394|5.425|5.394|0.069|3.971|0.003
strrchr (GNU libc 2.39)|23|3.849|3.852|3.859|3.853|0.039|5.56|0.002
strrchr (Arm OR 23.01)|23|7.225|7.597|7.898|7.588|2.159|2.824|0.061
strrchr (LI-PaRAD)|24|5.39|5.394|5.397|5.394|0.038|4.144|0.002
strrchr (GNU libc 2.39)|24|3.849|3.853|3.859|3.853|0.045|5.801|0.003
strrchr (Arm OR 23.01)|24|7.257|7.682|7.898|7.665|1.989|2.917|0.058
strrchr (LI-PaRAD)|25|5.39|5.394|5.396|5.393|0.034|4.317|0.001
strrchr (GNU libc 2.39)|25|3.849|3.852|3.855|3.852|0.036|6.044|0.002
strrchr (Arm OR 23.01)|25|7.255|7.648|7.898|7.644|2.081|3.047|0.064
strrchr (LI-PaRAD)|26|5.39|5.394|5.398|5.394|0.039|4.489|0.002
strrchr (GNU libc 2.39)|26|3.849|3.852|3.86|3.853|0.045|6.285|0.003
strrchr (Arm OR 23.01)|26|7.255|7.648|7.898|7.654|2.086|3.165|0.066
strrchr (LI-PaRAD)|27|5.39|5.394|5.397|5.394|0.038|4.662|0.002
strrchr (GNU libc 2.39)|27|3.849|3.852|3.86|3.853|0.043|6.527|0.003
strrchr (Arm OR 23.01)|27|7.377|7.689|7.898|7.666|1.748|3.281|0.057
strrchr (LI-PaRAD)|28|5.39|5.394|5.401|5.393|0.036|4.835|0.002
strrchr (GNU libc 2.39)|28|3.848|3.852|3.857|3.853|0.04|6.769|0.003
