       ROUTINE IMPLEM|    BUF SIZE|     MINIMUM ns|      MEDIAN ns|     MAXIMUM ns|     AVERAGE ns|   STD DEV %|    BW GiB/s|   SPEEDUP %
Current `strrchr_sve`|    32.0 KiB|           3558|           3558|           3568|       3559.091|       0.071|       8.575|
    New `strrchr_sve`|    32.0 KiB|           2576|           2577|           2628|       2578.665|       0.356|      11.835|    +38.02%
Current `strrchr_sve`|    64.0 KiB|           7103|           7105|           7116|       7106.349|       0.049|       8.589|
    New `strrchr_sve`|    64.0 KiB|           5138|           5139|           5145|       5139.487|       0.032|      11.876|    +38.27%
Current `strrchr_sve`|   512.0 KiB|          54673|          54715|          55245|      54741.501|       0.195|       8.920|
    New `strrchr_sve`|   512.0 KiB|          37881|          37943|          38046|      37943.725|       0.090|      12.869|    +44.27%
Current `strrchr_sve`|     1.0 MiB|         109389|         109684|         110117|     109694.352|       0.163|       8.903|
    New `strrchr_sve`|     1.0 MiB|          77257|          81554|          81965|      81207.194|       1.337|      12.026|    +35.08%
Current `strrchr_sve`|    16.0 MiB|        1757283|        1766458|        1785764|    1767061.277|       0.357|       8.842|
    New `strrchr_sve`|    16.0 MiB|        1311184|        1318362|        1330228|    1318596.223|       0.283|      11.850|    +34.01%
Current `strrchr_sve`|    32.0 MiB|        3475984|        3646391|        3652511|    3606799.503|       1.671|       8.664|
    New `strrchr_sve`|    32.0 MiB|        2621361|        2637927|        2653030|    2636858.981|       0.351|      11.851|    +36.78%
Current `strrchr_sve`|   256.0 MiB|       28356969|       28653247|       29175845|   28668640.419|       0.678|       8.720|
    New `strrchr_sve`|   256.0 MiB|       21123842|       21227373|       21456483|   21245423.645|       0.487|      11.767|    +34.94%
