ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strncmp (Arm OR 23.01)|20|5.214|5.23|5.348|5.234|0.378|3.559|0.013
strncmp (LI-PaRAD)|21|2.709|2.723|2.726|2.722|0.093|7.184|0.007
strncmp (GNU libc 2.34)|21|3.172|3.175|3.182|3.175|0.072|6.159|0.004
strncmp (Arm OR 23.01)|21|5.212|5.234|5.389|5.238|0.437|3.734|0.016
strncmp (LI-PaRAD)|22|2.697|2.701|2.708|2.701|0.047|7.586|0.004
strncmp (GNU libc 2.34)|22|3.209|3.214|3.225|3.214|0.079|6.375|0.005
strncmp (Arm OR 23.01)|22|5.193|5.234|5.247|5.232|0.138|3.916|0.005
strncmp (LI-PaRAD)|23|2.697|2.723|2.733|2.721|0.226|7.872|0.018
strncmp (GNU libc 2.34)|23|3.172|3.176|3.189|3.177|0.12|6.743|0.008
strncmp (Arm OR 23.01)|23|5.215|5.226|5.356|5.228|0.279|4.097|0.011
strncmp (LI-PaRAD)|24|2.714|2.723|2.759|2.723|0.166|8.208|0.014
strncmp (GNU libc 2.34)|24|3.17|3.175|3.181|3.175|0.076|7.041|0.005
strncmp (Arm OR 23.01)|24|5.217|5.231|5.407|5.235|0.426|4.27|0.018
strncmp (LI-PaRAD)|25|2.681|2.723|2.734|2.723|0.197|8.552|0.017
strncmp (GNU libc 2.34)|25|3.973|4.115|4.14|4.114|0.356|5.659|0.021
strncmp (Arm OR 23.01)|25|5.187|5.23|5.434|5.241|0.798|4.443|0.035
strncmp (LI-PaRAD)|26|2.698|2.724|2.726|2.721|0.282|8.9|0.025
strncmp (GNU libc 2.34)|26|4.105|4.112|4.128|4.112|0.085|5.888|0.005
strncmp (Arm OR 23.01)|26|5.205|5.223|5.398|5.225|0.403|4.634|0.018
strncmp (LI-PaRAD)|27|2.706|2.723|2.729|2.72|0.188|9.244|0.017
strncmp (GNU libc 2.34)|27|4.11|4.117|4.178|4.117|0.152|6.108|0.009
strncmp (Arm OR 23.01)|27|5.202|5.225|5.423|5.233|0.668|4.805|0.031
strncmp (LI-PaRAD)|28|2.695|2.72|2.727|2.714|0.373|9.607|0.036
strncmp (GNU libc 2.34)|28|4.105|4.112|4.14|4.113|0.109|6.341|0.007
strncmp (Arm OR 23.01)|28|5.203|5.222|5.429|5.227|0.49|4.989|0.024
strncmp (LI-PaRAD)|29|2.697|2.721|2.726|2.717|0.273|9.94|0.027
strncmp (GNU libc 2.34)|29|4.113|4.115|4.135|4.116|0.061|6.563|0.004
strncmp (Arm OR 23.01)|29|5.213|5.227|5.369|5.229|0.354|5.165|0.018
strncmp (LI-PaRAD)|30|2.697|2.722|2.726|2.717|0.355|10.285|0.037
strncmp (GNU libc 2.34)|30|4.106|4.112|4.149|4.112|0.093|6.795|0.006
strncmp (Arm OR 23.01)|30|5.208|5.225|5.247|5.225|0.143|5.347|0.008
strncmp (LI-PaRAD)|31|2.706|2.716|2.725|2.716|0.255|10.632|0.027
strncmp (GNU libc 2.34)|31|4.11|4.116|4.118|4.116|0.033|7.015|0.002
