ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strlen (LI-PaRAD)|24|1.82|1.82|1.825|1.82|0.045|12.279|0.006
strlen (GNU libc 2.34)|24|1.984|1.985|1.987|1.985|0.03|11.259|0.003
strlen (Arm OR 23.01)|24|4.815|4.817|4.967|4.819|0.324|4.639|0.015
strlen (LI-PaRAD)|25|1.819|1.82|1.821|1.82|0.026|12.793|0.003
strlen (GNU libc 2.34)|25|1.983|1.985|1.991|1.985|0.055|11.729|0.006
strlen (Arm OR 23.01)|25|4.815|4.817|5.117|4.828|1.081|4.823|0.05
strlen (LI-PaRAD)|26|1.82|1.82|1.822|1.82|0.025|13.302|0.003
strlen (GNU libc 2.34)|26|1.976|1.978|1.982|1.978|0.055|12.243|0.007
strlen (Arm OR 23.01)|26|4.815|4.817|5.118|4.822|0.694|5.022|0.033
strlen (LI-PaRAD)|27|1.82|1.82|1.825|1.82|0.036|13.814|0.005
strlen (GNU libc 2.34)|27|1.976|1.978|1.982|1.978|0.052|12.714|0.007
strlen (Arm OR 23.01)|27|4.815|4.817|5.117|4.83|1.166|5.207|0.058
strlen (LI-PaRAD)|28|1.82|1.82|1.825|1.821|0.043|14.324|0.006
strlen (GNU libc 2.34)|28|1.983|1.985|1.988|1.985|0.04|13.135|0.005
strlen (Arm OR 23.01)|28|4.815|4.817|5.117|4.833|1.268|5.397|0.065
strlen (LI-PaRAD)|29|1.82|1.82|1.829|1.821|0.052|14.835|0.008
strlen (GNU libc 2.34)|29|1.984|1.986|1.99|1.986|0.044|13.602|0.006
strlen (Arm OR 23.01)|29|4.816|4.817|5.118|4.838|1.46|5.583|0.078
strlen (LI-PaRAD)|30|1.82|1.82|1.826|1.821|0.039|15.346|0.006
strlen (GNU libc 2.34)|30|1.976|1.978|1.983|1.978|0.056|14.123|0.008
strlen (Arm OR 23.01)|30|4.815|4.817|4.819|4.817|0.018|5.8|0.001
strlen (LI-PaRAD)|31|1.82|1.821|1.822|1.821|0.025|15.858|0.004
strlen (GNU libc 2.34)|31|1.976|1.978|1.983|1.978|0.055|14.596|0.008
strlen (Arm OR 23.01)|31|4.815|4.817|5.117|4.828|1.163|5.98|0.066
strlen (LI-PaRAD)|32|1.819|1.821|1.828|1.821|0.079|16.365|0.013
strlen (GNU libc 2.34)|32|2.323|2.331|2.337|2.331|0.076|12.784|0.01
strlen (Arm OR 23.01)|32|5.718|5.72|5.722|5.72|0.014|5.21|0.001
strlen (LI-PaRAD)|33|1.821|1.822|1.827|1.822|0.047|16.869|0.008
strlen (GNU libc 2.34)|33|2.324|2.332|2.356|2.333|0.206|13.175|0.027
strlen (Arm OR 23.01)|33|5.718|5.72|5.726|5.72|0.018|5.373|0.001
strlen (LI-PaRAD)|34|1.819|1.822|1.826|1.822|0.057|17.381|0.01
strlen (GNU libc 2.34)|34|2.301|2.307|2.312|2.307|0.075|13.727|0.01
strlen (Arm OR 23.01)|34|5.718|5.72|5.723|5.719|0.015|5.536|0.001
strlen (LI-PaRAD)|35|1.821|1.822|1.823|1.822|0.032|17.891|0.006
strlen (GNU libc 2.34)|35|2.298|2.307|2.312|2.307|0.095|14.13|0.013
strlen (Arm OR 23.01)|35|5.718|5.72|5.723|5.719|0.015|5.699|0.001
strlen (LI-PaRAD)|36|1.821|1.822|1.824|1.822|0.03|18.401|0.005
strlen (GNU libc 2.34)|36|2.329|2.333|2.337|2.333|0.075|14.374|0.011
strlen (Arm OR 23.01)|36|5.718|5.719|5.724|5.719|0.015|5.862|0.001
strlen (LI-PaRAD)|37|1.819|1.822|1.83|1.821|0.085|18.921|0.016
