ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcmp (LI-PaRAD)|30|2.613|2.633|2.648|2.632|0.274|10.615|0.029
strcmp (GNU libc 2.34)|30|2.81|2.812|2.841|2.813|0.175|9.931|0.017
strcmp (Arm OR 23.01)|30|5.151|5.205|5.225|5.203|0.275|5.37|0.015
strcmp (LI-PaRAD)|31|2.577|2.589|2.64|2.601|0.808|11.099|0.089
strcmp (GNU libc 2.34)|31|2.807|2.808|2.838|2.81|0.192|10.276|0.02
strcmp (Arm OR 23.01)|31|5.179|5.21|5.223|5.207|0.204|5.544|0.011
strcmp (LI-PaRAD)|32|3.72|3.726|3.747|3.727|0.097|7.996|0.008
strcmp (GNU libc 2.34)|32|3.369|3.412|3.437|3.413|0.187|8.731|0.016
strcmp (Arm OR 23.01)|32|6.133|6.195|6.289|6.196|0.487|4.81|0.023
strcmp (LI-PaRAD)|33|3.719|3.725|3.747|3.724|0.113|8.252|0.009
strcmp (GNU libc 2.34)|33|3.419|3.42|3.432|3.421|0.063|8.984|0.006
strcmp (Arm OR 23.01)|33|6.197|6.246|6.291|6.245|0.25|4.921|0.012
strcmp (LI-PaRAD)|34|3.709|3.723|3.745|3.722|0.173|8.507|0.015
strcmp (GNU libc 2.34)|34|3.411|3.412|3.419|3.413|0.047|9.279|0.004
strcmp (Arm OR 23.01)|34|6.116|6.196|6.219|6.192|0.2|5.114|0.01
strcmp (LI-PaRAD)|35|3.721|3.725|3.739|3.726|0.09|8.749|0.008
strcmp (GNU libc 2.34)|35|3.421|3.422|3.451|3.426|0.241|9.514|0.023
strcmp (Arm OR 23.01)|35|6.205|6.247|6.296|6.248|0.166|5.217|0.009
strcmp (LI-PaRAD)|36|3.718|3.722|3.746|3.722|0.094|9.007|0.008
strcmp (GNU libc 2.34)|36|3.413|3.415|3.426|3.416|0.07|9.816|0.007
strcmp (Arm OR 23.01)|36|6.119|6.195|6.262|6.193|0.379|5.414|0.021
strcmp (LI-PaRAD)|37|3.727|3.732|3.743|3.732|0.064|9.233|0.006
strcmp (GNU libc 2.34)|37|3.429|3.43|3.436|3.43|0.035|10.045|0.003
strcmp (Arm OR 23.01)|37|6.13|6.246|6.295|6.246|0.363|5.517|0.02
strcmp (LI-PaRAD)|38|3.723|3.728|13.778|3.858|25.874|9.349|0.692
strcmp (GNU libc 2.34)|38|3.418|3.421|3.476|3.422|0.183|10.343|0.019
strcmp (Arm OR 23.01)|38|6.133|6.196|6.242|6.193|0.27|5.714|0.015
strcmp (LI-PaRAD)|39|3.763|3.792|13.818|3.987|35.202|9.45|0.975
strcmp (GNU libc 2.34)|39|3.282|3.286|13.32|3.391|29.427|10.951|0.828
strcmp (Arm OR 23.01)|39|6.187|6.247|6.306|6.249|0.311|5.813|0.018
strcmp (LI-PaRAD)|40|3.911|3.92|13.936|4.207|39.141|9.301|1.152
strcmp (GNU libc 2.34)|40|3.943|3.946|13.973|4.248|40.222|9.229|1.154
strcmp (Arm OR 23.01)|40|5.988|6.17|6.302|6.16|0.71|6.048|0.043
strcmp (LI-PaRAD)|41|3.839|3.919|3.932|3.917|0.232|9.749|0.023
strcmp (GNU libc 2.34)|41|3.953|3.956|3.972|3.956|0.063|9.652|0.006
strcmp (Arm OR 23.01)|41|6.043|6.169|6.309|6.164|0.56|6.195|0.035
strcmp (LI-PaRAD)|42|3.862|3.889|3.914|3.889|0.315|10.057|0.032
strcmp (GNU libc 2.34)|42|3.938|3.941|3.945|3.941|0.034|9.924|0.003
strcmp (Arm OR 23.01)|42|6.091|6.174|6.22|6.171|0.321|6.339|0.02
strcmp (LI-PaRAD)|43|3.833|3.902|3.924|3.895|0.508|10.283|0.052
strcmp (GNU libc 2.34)|43|3.938|3.941|3.962|3.941|0.081|10.161|0.008
strcmp (Arm OR 23.01)|43|6.053|6.176|6.241|6.172|0.392|6.488|0.026
strcmp (LI-PaRAD)|44|3.896|3.915|3.927|3.914|0.139|10.47|0.015
strcmp (GNU libc 2.34)|44|3.952|3.954|3.958|3.955|0.031|10.362|0.003
strcmp (Arm OR 23.01)|44|6.025|6.164|6.277|6.16|0.818|6.652|0.055
strcmp (LI-PaRAD)|45|3.901|3.914|3.92|3.913|0.117|10.71|0.013
strcmp (GNU libc 2.34)|45|3.952|3.954|3.958|3.954|0.033|10.598|0.004
strcmp (Arm OR 23.01)|45|5.998|6.167|6.29|6.162|0.852|6.801|0.058
strcmp (LI-PaRAD)|46|3.864|3.873|3.915|3.876|0.291|11.053|0.032
strcmp (GNU libc 2.34)|46|3.937|3.94|3.947|3.94|0.034|10.873|0.004
strcmp (Arm OR 23.01)|46|6.031|6.175|6.267|6.171|0.588|6.942|0.041
strcmp (LI-PaRAD)|47|3.862|3.877|3.919|3.88|0.278|11.282|0.031
strcmp (GNU libc 2.34)|47|3.937|3.94|3.951|3.941|0.066|11.108|0.007
strcmp (Arm OR 23.01)|47|6.108|6.177|6.258|6.18|0.38|7.083|0.027
strcmp (LI-PaRAD)|48|4.705|4.766|4.797|4.765|0.289|9.381|0.027
strcmp (GNU libc 2.34)|48|4.455|4.461|4.465|4.461|0.035|10.021|0.003
strcmp (Arm OR 23.01)|48|6.382|6.47|6.573|6.466|0.419|6.913|0.029
strcmp (LI-PaRAD)|49|4.722|4.771|4.818|4.771|0.277|9.566|0.026
strcmp (GNU libc 2.34)|49|4.46|4.462|4.474|4.462|0.039|10.227|0.004
strcmp (Arm OR 23.01)|49|6.379|6.469|6.666|6.465|0.563|7.059|0.04
strcmp (LI-PaRAD)|50|4.696|4.763|4.796|4.761|0.341|9.781|0.034
strcmp (GNU libc 2.34)|50|4.445|4.447|4.45|4.447|0.025|10.471|0.003
strcmp (Arm OR 23.01)|50|6.357|6.465|6.562|6.463|0.453|7.205|0.033
strcmp (LI-PaRAD)|51|4.706|4.771|4.826|4.771|0.433|9.957|0.043
strcmp (GNU libc 2.34)|51|4.445|4.452|4.467|4.452|0.083|10.668|0.009
strcmp (Arm OR 23.01)|51|6.38|6.462|6.605|6.454|0.601|7.359|0.044
strcmp (LI-PaRAD)|52|4.72|4.764|4.813|4.764|0.29|10.166|0.03
strcmp (GNU libc 2.34)|52|4.458|4.461|4.464|4.461|0.025|10.857|0.003
strcmp (Arm OR 23.01)|52|6.358|6.461|6.558|6.455|0.635|7.502|0.048
strcmp (LI-PaRAD)|53|4.68|4.764|4.819|4.762|0.372|10.366|0.039
strcmp (GNU libc 2.34)|53|4.457|4.46|4.469|4.46|0.04|11.068|0.004
strcmp (Arm OR 23.01)|53|6.373|6.448|6.563|6.444|0.64|7.66|0.049
strcmp (LI-PaRAD)|54|4.695|4.762|4.796|4.76|0.348|10.565|0.037
strcmp (GNU libc 2.34)|54|4.443|4.446|4.457|4.447|0.056|11.31|0.006
strcmp (Arm OR 23.01)|54|6.38|6.457|6.583|6.454|0.576|7.792|0.045
strcmp (LI-PaRAD)|55|4.712|4.765|4.83|4.765|0.441|10.751|0.047
strcmp (GNU libc 2.34)|55|4.444|4.446|4.486|4.447|0.108|11.518|0.012
strcmp (Arm OR 23.01)|55|6.342|6.436|6.556|6.439|0.669|7.956|0.053
strcmp (LI-PaRAD)|56|4.528|4.717|4.806|4.717|0.739|11.056|0.083
strcmp (GNU libc 2.34)|56|4.71|4.713|4.723|4.714|0.049|11.064|0.005
strcmp (Arm OR 23.01)|56|6.343|6.442|6.605|6.437|0.76|8.103|0.061
strcmp (LI-PaRAD)|57|4.656|4.73|4.839|4.731|0.502|11.221|0.056
strcmp (GNU libc 2.34)|57|4.71|4.712|4.809|4.715|0.28|11.259|0.031
strcmp (Arm OR 23.01)|57|6.373|6.439|6.597|6.441|0.624|8.243|0.051
strcmp (LI-PaRAD)|58|4.623|4.732|4.778|4.728|0.487|11.424|0.056
strcmp (GNU libc 2.34)|58|4.738|4.741|4.765|4.742|0.084|11.392|0.01
strcmp (Arm OR 23.01)|58|6.371|6.441|6.605|6.445|0.593|8.381|0.049
strcmp (LI-PaRAD)|59|4.687|4.733|4.817|4.736|0.354|11.602|0.041
strcmp (GNU libc 2.34)|59|4.657|4.66|4.664|4.66|0.031|11.79|0.004
strcmp (Arm OR 23.01)|59|6.341|6.45|6.605|6.442|0.931|8.53|0.079
strcmp (LI-PaRAD)|60|4.69|4.734|4.813|4.736|0.352|11.799|0.041
strcmp (GNU libc 2.34)|60|4.656|4.659|4.663|4.659|0.029|11.993|0.004
strcmp (Arm OR 23.01)|60|6.342|6.443|6.596|6.437|0.804|8.681|0.069
strcmp (LI-PaRAD)|61|4.689|4.732|4.812|4.736|0.431|11.995|0.051
strcmp (GNU libc 2.34)|61|4.656|4.659|4.667|4.659|0.044|12.194|0.005
strcmp (Arm OR 23.01)|61|6.342|6.437|6.605|6.44|0.875|8.822|0.077
strcmp (LI-PaRAD)|62|4.637|4.741|4.793|4.739|0.442|12.184|0.054
strcmp (GNU libc 2.34)|62|4.655|4.659|4.749|4.674|0.632|12.354|0.077
strcmp (Arm OR 23.01)|62|6.373|6.443|6.53|6.439|0.458|8.968|0.041
strcmp (LI-PaRAD)|63|4.62|4.742|4.821|4.745|0.509|12.366|0.063
strcmp (GNU libc 2.34)|63|4.656|4.659|4.698|4.661|0.139|12.589|0.017
strcmp (Arm OR 23.01)|63|6.343|6.443|6.604|6.445|0.718|9.104|0.065
strcmp (LI-PaRAD)|64|6.178|6.222|6.291|6.223|0.391|9.578|0.037
strcmp (GNU libc 2.34)|64|5.134|5.138|5.164|5.138|0.065|11.601|0.008
strcmp (Arm OR 23.01)|64|7.205|7.393|7.507|7.383|0.864|8.074|0.07
strcmp (LI-PaRAD)|65|6.18|6.218|6.323|6.222|0.394|9.729|0.038
strcmp (GNU libc 2.34)|65|5.134|5.137|5.143|5.137|0.035|11.784|0.004
strcmp (Arm OR 23.01)|65|7.205|7.394|7.507|7.39|1.032|8.193|0.085
strcmp (LI-PaRAD)|66|6.172|6.217|6.32|6.222|0.44|9.879|0.043
strcmp (GNU libc 2.34)|66|5.134|5.136|5.287|5.139|0.35|11.96|0.041
strcmp (Arm OR 23.01)|66|7.206|7.397|7.507|7.392|0.894|8.316|0.075
strcmp (LI-PaRAD)|67|6.179|6.22|6.293|6.22|0.365|10.031|0.037
strcmp (GNU libc 2.34)|67|5.133|5.136|5.169|5.137|0.093|12.146|0.011
strcmp (Arm OR 23.01)|67|7.232|7.394|7.511|7.388|0.851|8.447|0.072
strcmp (LI-PaRAD)|68|6.172|6.213|6.299|6.22|0.459|10.181|0.047
strcmp (GNU libc 2.34)|68|5.133|5.136|5.146|5.136|0.039|12.33|0.005
strcmp (Arm OR 23.01)|68|7.216|7.385|7.49|7.378|0.758|8.584|0.065
