ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strnlen (Arm OR 23.01)|16777216|1622845.5|1656085.5|1687814.0|1655984.257|1.224|9.437|0.116
strnlen (GNU libc 2.39)|16777216|678006.0|686406.5|719166.5|689904.965|1.447|22.653|0.322
strnlen (LI-PaRAD)|33554432|1652027.5|1656935.0|1668917.5|1656895.916|0.151|18.861|0.028
strnlen (Arm OR 23.01)|33554432|3249800.5|3297245.5|3350260.5|3298040.827|0.766|9.476|0.073
strnlen (GNU libc 2.39)|33554432|1385247.0|1393758.5|1445061.5|1394993.847|0.532|22.402|0.117
strnlen (LI-PaRAD)|67108864|3342140.0|3346781.5|3354947.5|3346564.213|0.066|18.676|0.012
strnlen (Arm OR 23.01)|67108864|6515478.0|6609337.0|6727610.5|6610017.871|0.592|9.456|0.056
strnlen (GNU libc 2.39)|67108864|2931525.5|2942457.5|2959271.0|2942616.525|0.18|21.24|0.038
strnlen (LI-PaRAD)|134217728|6725782.0|6731048.5|6743642.5|6731207.094|0.045|18.57|0.008
strnlen (Arm OR 23.01)|134217728|13096666.5|13213109.0|13355816.5|13218365.074|0.411|9.457|0.039
strnlen (GNU libc 2.39)|134217728|5948753.5|5967632.0|6007479.5|5968674.757|0.126|20.943|0.026
strnlen (LI-PaRAD)|268435456|13483545.0|13491911.5|13507028.0|13492291.104|0.032|18.529|0.006
strnlen (Arm OR 23.01)|268435456|26298606.0|26370320.0|26452530.0|26371224.48|0.127|9.48|0.012
strnlen (GNU libc 2.39)|268435456|11968034.0|11989757.0|12017959.5|11989518.485|0.086|20.852|0.018
strnlen (LI-PaRAD)|536870912|26992562.0|27004033.0|27019154.5|27004210.564|0.019|18.516|0.004
strnlen (Arm OR 23.01)|536870912|52609828.5|52771026.0|53110244.0|52789751.728|0.208|9.472|0.02
strnlen (GNU libc 2.39)|536870912|24001003.0|24034673.5|24111474.5|24034406.832|0.068|20.804|0.014
